Count;;;N NI;;;Count of objects available in this stream
Status;;;N NI;;;bit field (0=IsAccepted, 1=IsFilled, 2=IsUpdated, 3=IsFinished)
StreamCount;;;N NI;;;Count of streams of that kind available
Codec_Settings_Law;;;N NT;;;Deprecated, do not use in new projects;;
Codec_Settings_ITU;;;N NT;;;Deprecated, do not use in new projects;;
Duration;; ms;N YI;;;Play time of the stream, in ms;;
Duration/String;;;Y NT;;;Play time in format : XXx YYy only, YYy omited if zero;;
Duration/String1;;;N NT;;;Play time in format : HHh MMmn SSs MMMms, XX omited if zero;;
Duration/String2;;;N NT;;;Play time in format : XXx YYy only, YYy omited if zero;;
Duration/String3;;;N NT;;;Play time in format : HH:MM:SS.MMM;;
Duration/String4;;;N NT;;;Play time in format : HH:MM:SS:FF, last colon replaced by semicolon for drop frame if available
Duration/String5;;;N NT;;;Play time in format : HH:MM:SS.mmm (HH:MM:SS:FF)
Duration_FirstFrame;; ms;N YI;;;Duration of the first frame if it is longer than others, in ms;
Duration_FirstFrame/String;;;Y NT;;;Duration of the first frame if it is longer than others, in format : XXx YYy only, YYy omited if zero;
Duration_FirstFrame/String1;;;N NT;;;Duration of the first frame if it is longer than others, in format : HHh MMmn SSs MMMms, XX omited if zero;
Duration_FirstFrame/String2;;;N NT;;;Duration of the first frame if it is longer than others, in format : XXx YYy only, YYy omited if zero;
Duration_FirstFrame/String3;;;N NT;;;Duration of the first frame if it is longer than others, in format : HH:MM:SS.MMM;
Duration_FirstFrame/String4;;;N NT;;;Play time in format : HH:MM:SS:FF, last colon replaced by semicolon for drop frame if available
Duration_FirstFrame/String5;;;N NT;;;Play time in format : HH:MM:SS.mmm (HH:MM:SS:FF)
Duration_LastFrame;; ms;N YI;;;Duration of the last frame if it is longer than others, in ms;
Duration_LastFrame/String;;;Y NT;;;Duration of the last frame if it is longer than others, in format : XXx YYy only, YYy omited if zero;
Duration_LastFrame/String1;;;N NT;;;Duration of the last frame if it is longer than others, in format : HHh MMmn SSs MMMms, XX omited if zero;
Duration_LastFrame/String2;;;N NT;;;Duration of the last frame if it is longer than others, in format : XXx YYy only, YYy omited if zero;
Duration_LastFrame/String3;;;N NT;;;Duration of the last frame if it is longer than others, in format : HH:MM:SS.MMM;
Duration_LastFrame/String4;;;N NT;;;Play time in format : HH:MM:SS:FF, last colon replaced by semicolon for drop frame if available
Duration_LastFrame/String5;;;N NT;;;Play time in format : HH:MM:SS.mmm (HH:MM:SS:FF)
Source_Duration;; ms;N YI;;;Source Play time of the stream, in ms;;
Source_Duration/String;;;Y NT;;;Source Play time in format : XXx YYy only, YYy omited if zero;;
Source_Duration/String1;;;N NT;;;Source Play time in format : HHh MMmn SSs MMMms, XX omited if zero;;
Source_Duration/String2;;;N NT;;;Source Play time in format : XXx YYy only, YYy omited if zero;;
Source_Duration/String3;;;N NT;;;Source Play time in format : HH:MM:SS.MMM;;
Source_Duration/String4;;;N NT;;;Source Play time in format : HH:MM:SS:FF, last colon replaced by semicolon for drop frame if available
Source_Duration/String5;;;N NT;;;Source Play time in format : HH:MM:SS.mmm (HH:MM:SS:FF)
Source_Duration_FirstFrame;; ms;N YI;;;Source Duration of the first frame if it is longer than others, in ms;
Source_Duration_FirstFrame/String;;;Y NT;;;Source Duration of the first frame if it is longer than others, in format : XXx YYy only, YYy omited if zero;
Source_Duration_FirstFrame/String1;;;N NT;;;Source Duration of the first frame if it is longer than others, in format : HHh MMmn SSs MMMms, XX omited if zero;
Source_Duration_FirstFrame/String2;;;N NT;;;Source Duration of the first frame if it is longer than others, in format : XXx YYy only, YYy omited if zero;
Source_Duration_FirstFrame/String3;;;N NT;;;Source Duration of the first frame if it is longer than others, in format : HH:MM:SS.MMM;
Source_Duration_FirstFrame/String4;;;N NT;;;Source Duration of the first frame if it is longer than others, in format : HH:MM:SS:FF, last colon replaced by semicolon for drop frame if available
Source_Duration_FirstFrame/String5;;;N NT;;;Source Duration of the first frame if it is longer than others, in format : HH:MM:SS.mmm (HH:MM:SS:FF)
Source_Duration_LastFrame;; ms;N YI;;;Source Duration of the last frame if it is longer than others, in ms;
Source_Duration_LastFrame/String;;;Y NT;;;Source Duration of the last frame if it is longer than others, in format : XXx YYy only, YYy omited if zero;
Source_Duration_LastFrame/String1;;;N NT;;;Source Duration of the last frame if it is longer than others, in format : HHh MMmn SSs MMMms, XX omited if zero;
Source_Duration_LastFrame/String2;;;N NT;;;Source Duration of the last frame if it is longer than others, in format : XXx YYy only, YYy omited if zero;
Source_Duration_LastFrame/String3;;;N NT;;;Source Duration of the last frame if it is longer than others, in format : HH:MM:SS.MMM;
Source_Duration_LastFrame/String4;;;N NT;;;Source Duration of the last frame if it is longer than others, in format : HH:MM:SS:FF, last colon replaced by semicolon for drop frame if available
Source_Duration_LastFrame/String5;;;N NT;;;Source Duration of the last frame if it is longer than others, in format : HH:MM:SS.mmm (HH:MM:SS:FF)
BitRate_Mode;;;N YT;;;Bit rate mode (VBR, CBR);;
BitRate_Mode/String;;;Y NT;;;Bit rate mode (Constant, Variable);;
BitRate;; bps;N YF;;;Bit rate in bps;;
BitRate/String;;;Y NT;;;Bit rate (with measurement);;
BitRate_Minimum;; bps;N YF;;;Minimum Bit rate in bps;;
BitRate_Minimum/String;;;Y NT;;;Minimum Bit rate (with measurement);;
BitRate_Nominal;; bps;N YF;;;Nominal Bit rate in bps;;
BitRate_Nominal/String;;;Y NT;;;Nominal Bit rate (with measurement);;
BitRate_Maximum;; bps;N YF;;;Maximum Bit rate in bps;;
BitRate_Maximum/String;;;Y NT;;;Maximum Bit rate (with measurement);;
BitRate_Encoded;; bps;N YF;;;Encoded (with forced padding) bit rate in bps, if some container padding is present
BitRate_Encoded/String;;;Y NT;;;Encoded (with forced padding) bit rate (with measurement), if some container padding is present
Channel(s);; channel;N YI;;;Number of channels;;
Channel(s)/String;;;Y NT;;;Number of channels (with measurement);;
Channel(s)_Original;; channel;N YI;;;Number of channels;;
Channel(s)_Original/String;;;Y NT;;;Number of channels (with measurement);;
Matrix_Channel(s);; channel;N YI;;;Number of channels after matrix decoding;;
Matrix_Channel(s)/String;;;Y NT;;;Number of channels after matrix decoding (with measurement);;
ChannelPositions;;;Y YT;;;Position of channels;;
ChannelPositions/String2;;;N NT;;;Position of channels (x/y.z format);;
Matrix_ChannelPositions;;;Y YT;;;Position of channels after matrix decoding;;
Matrix_ChannelPositions/String2;;;N NT;;;Position of channels after matrix decoding (x/y.z format);;
ChannelLayout;;;N YT;;;Layout of channels (in the stream);;
ChannelLayoutID;;;N YT;;;ID of layout of channels (e.g. MXF descriptor channel assignment). Warning, sometimes this is not enough for uniquely identifying a layout (e.g. MXF descriptor channel assignment is SMPTE 377-4). For AC-3, the form is x,y with x=acmod and y=lfeon.;;
SamplingRate;; Hz;N YF;;;Sampling rate;;
SamplingRate/String;;;Y NT;;;in KHz;;
SamplingCount;;;N NI;;;Sample count (based on sampling rate);;
Source_SamplingCount;;;N NI;;;Source Sample count (based on sampling rate);;
FrameRate;; fps;N YF;;;Frames per second
FrameRate/String;;;N NT;;;Frames per second (with measurement)
FrameCount;;;N NI;;;Frame count (a frame contains a count of samples depends of the format);;
Source_FrameCount;;;N NI;;;Source Frame count (a frame contains a count of samples depends of the format);;
Resolution;; bit;N NI;;;Deprecated, do not use in new projects;;
Resolution/String;;;N NT;;;Deprecated, do not use in new projects;;
BitDepth;; bit;N YI;;;Resolution in bits (8, 16, 20, 24). Note: significant bits in case the stored bit depth is different;;
BitDepth/String;;;Y NT;;;Resolution in bits (8, 16, 20, 24). Note: significant bits in case the stored bit depth is different;;
BitDepth_Stored;; bit;N YI;;;Stored Resolution in bits (8, 16, 20, 24);;
BitDepth_Stored/String;;;Y NT;;;Stored Resolution in bits (8, 16, 20, 24);;
Compression_Mode;;;N YT;;;Compression mode (Lossy or Lossless)
Compression_Mode/String;;;Y NT;;;Compression mode (Lossy or Lossless)
Compression_Ratio;;;Y YF;;;Current stream size divided by uncompressed stream size;;
Delay;; ms;N NI;;;Delay fixed in the stream (relative) IN MS;
Delay/String;;;N NT;;;Delay with measurement;
Delay/String1;;;N NT;;;Delay with measurement;
Delay/String2;;;N NT;;;Delay with measurement;
Delay/String3;;;N NT;;;Delay in format : HH:MM:SS.MMM;
Delay/String4;;;N NT;;;Delay in format : HH:MM:SS:FF, last colon replaced by semicolon for drop frame if available
Delay/String5;;;N NT;;;Delay in format : HH:MM:SS.mmm (HH:MM:SS:FF)
Delay_Settings;;;N NT;;;Delay settings (in case of timecode for example);
Delay_DropFrame;;;N NT;;;Delay drop frame;
Delay_Source;;;N NT;;;Delay source (Container or Stream or empty);
Delay_Source/String;;;N NT;;;Delay source (Container or Stream or empty);
Delay_Original;; ms;N NI;;;Delay fixed in the raw stream (relative) IN MS;
Delay_Original/String;;;N NT;;;Delay with measurement;
Delay_Original/String1;;;N NT;;;Delay with measurement;
Delay_Original/String2;;;N NT;;;Delay with measurement;
Delay_Original/String3;;;N NT;;;Delay in format: HH:MM:SS.MMM;;
Delay_Original/String4;;;N NT;;;Delay in format : HH:MM:SS:FF, last colon replaced by semicolon for drop frame if available
Delay_Original/String5;;;N NT;;;Delay in format : HH:MM:SS.mmm (HH:MM:SS:FF)
Delay_Original_Settings;;;N NT;;;Delay settings (in case of timecode for example);;
Delay_Original_DropFrame;;;N NT;;;Delay drop frame info;
Delay_Original_Source;;;N NT;;;Delay source (Stream or empty);
Video_Delay;; ms;N NI;;;Delay fixed in the stream (absolute / video)
Video_Delay/String;;;Y NT;;;
Video_Delay/String1;;;N NT;;;
Video_Delay/String2;;;N NT;;;
Video_Delay/String3;;;N NT;;;
Video_Delay/String4;;;N NT;;;
Video_Delay/String5;;;N NT;;;
Video0_Delay;; ms;N NI;;;Deprecated, do not use in new projects
Video0_Delay/String;;;N NT;;;Deprecated, do not use in new projects
Video0_Delay/String1;;;N NT;;;Deprecated, do not use in new projects
Video0_Delay/String2;;;N NT;;;Deprecated, do not use in new projects
Video0_Delay/String3;;;N NT;;;Deprecated, do not use in new projects
Video0_Delay/String4;;;N NT;;;Deprecated, do not use in new projects
Video0_Delay/String5;;;N NT;;;Deprecated, do not use in new projects
ReplayGain_Gain;; dB;N YT;;;The gain to apply to reach 89dB SPL on playback;;
ReplayGain_Gain/String;;;Y YT;;;;;
ReplayGain_Peak;;;Y YT;;;The maximum absolute peak value of the item;;
StreamSize;; byte;N YI;;;Streamsize in bytes;;
StreamSize/String;;;Y NT;;;Streamsize in with percentage value;;
StreamSize/String1;;;N NT;;;;;
StreamSize/String2;;;N NT;;;;;
StreamSize/String3;;;N NT;;;;;
StreamSize/String4;;;N NT;;;;;
StreamSize/String5;;;N NT;;;Streamsize in with percentage value;;
StreamSize_Proportion;;;N NT;;;Stream size divided by file size;;
Source_StreamSize;; byte;N YI;;;Source Streamsize in bytes;;
Source_StreamSize/String;;;Y NT;;;Source Streamsize in with percentage value;;
Source_StreamSize/String1;;;N NT;;;;;
Source_StreamSize/String2;;;N NT;;;;;
Source_StreamSize/String3;;;N NT;;;;;
Source_StreamSize/String4;;;N NT;;;;;
Source_StreamSize/String5;;;N NT;;;Source Streamsize in with percentage value;;
Source_StreamSize_Proportion;;;N NT;;;Source Stream size divided by file size;;
StreamSize_Encoded;; byte;N YI;;;Encoded Streamsize in bytes;;
StreamSize_Encoded/String;;;Y NT;;;Encoded Streamsize in with percentage value;;
StreamSize_Encoded/String1;;;N NT;;;;;
StreamSize_Encoded/String2;;;N NT;;;;;
StreamSize_Encoded/String3;;;N NT;;;;;
StreamSize_Encoded/String4;;;N NT;;;;;
StreamSize_Encoded/String5;;;N NT;;;Encoded Streamsize in with percentage value;;
StreamSize_Encoded_Proportion;;;N NT;;;Encoded Stream size divided by file size;;
Source_StreamSize_Encoded;; byte;N YI;;;Source Encoded Streamsize in bytes;;
Source_StreamSize_Encoded/String;;;Y NT;;;Source Encoded Streamsize in with percentage value;;
Source_StreamSize_Encoded/String1;;;N NT;;;;;
Source_StreamSize_Encoded/String2;;;N NT;;;;;
Source_StreamSize_Encoded/String3;;;N NT;;;;;
Source_StreamSize_Encoded/String4;;;N NT;;;;;
Source_StreamSize_Encoded/String5;;;N NT;;;Source Encoded Streamsize in with percentage value;;
Source_StreamSize_Encoded_Proportion;;;N NT;;;Source Encoded Stream size divided by file size;;
Alignment;;;N YT;;;How this stream file is aligned in the container;;
Alignment/String;;;Y NT;;;Where this stream file is aligned in the container;;
Interleave_VideoFrames;;;N YF;;;Between how many video frames the stream is inserted;;
Interleave_Duration;;;N YI;;;Between how much time (ms) the stream is inserted;;
Interleave_Duration/String;;;Y NT;;;Between how much time and video frames the stream is inserted (with measurement);;
Interleave_Preload;;;N YI;;;How much time is buffered before the first video frame;;
Interleave_Preload/String;;;Y NT;;;How much time is buffered before the first video frame (with measurement);;
Title;;;Y YI;;;Name of the track;;
Encoded_Library;;;N YT;;;Software used to create the file;;
Encoded_Library/String;;;Y NT;;;Software used to create the file;;
Encoded_Library/Name;;;N NT;;;Info from the software;;
Encoded_Library/Version;;;N NT;;;Version of software;;
Encoded_Library/Date;;;N NT;;;Release date of software;;
Encoded_Library_Settings;;;Y YT;;;Parameters used by the software;;
Language;;;N YT;;;Language (2-letter ISO 639-1 if exists, else 3-letter ISO 639-2, and with optional ISO 3166-1 country separated by a dash if available, e.g. en, en-us, zh-cn);;
Language/String;;;Y NT;;;Language (full);;
Language/String1;;;N NT;;;Language (full);;
Language/String2;;;N NT;;;Language (2-letter ISO 639-1 if exists, else empty);;
Language/String3;;;N NT;;;Language (3-letter ISO 639-2 if exists, else empty);;
Language/String4;;;N NT;;;Language (2-letter ISO 639-1 if exists with optional ISO 3166-1 country separated by a dash if available, e.g. en, en-us, zh-cn, else empty);;
Language_More;;;Y YT;;;More info about Language (e.g. Director's Comment);;
Default;;Yes;N YT;;;Set if that track should be used if no language found matches the user preference.
Default/String;;;Y NT;;;Set if that track should be used if no language found matches the user preference.
Forced;;Yes;N YT;;;Set if that track should be used if no language found matches the user preference.
Forced/String;;;Y NT;;;Set if that track should be used if no language found matches the user preference.
Encoded_Date;;;Y YT;;;UTC time that the encoding of this item was completed began.;;Temporal
Tagged_Date;;;Y YT;;;UTC time that the tags were done for this item.;;Temporal
Encryption;;;Y YT;;;;;
