  Language_ISO639;pt
Chapter(s);Capítulo(s)
Chapters;Capítulos
Chapters stream(s);Faixa(s) de Capítulos
Chapters_Codec_List;Codecs de Capítulos
Chapters_No;Sem capítulos
ChaptersCount;Número de faixas de capítulo
CheckNewVersion;Verificar nova versão
Choose custom;Escolha personalizado
Choose custom sheet;Personalize o modo formulário
Choose custom text;Personalize o modo texto
Choose export format;Escolha o formato de exportação
Choose file(s);Escolha os arquivos para abrir
Choose filename;Escolha o nome do arquivo
Choose language;Escolha o idioma
Choregrapher;Coreógrafo
Chroma;Saturação
ChromaSubsampling;
Close;Fechar
Close all before open;Fechar todos antes de abrir
Codec;Codec
Codec_Description;
Codec_Info;Detalhes do codec
Codec_Settings;Config. do Codec
Codec_Settings_PacketBitStream;
Codec_Settings_BVOP;
Codec_Settings_QPel;
Codec_Settings_GMC;
Codec_Settings_Matrix;
Codec_Settings_Floor;
Codec_Settings_CABAC;
Codec_Settings_Firm;
Codec_Settings_Endianness;
Codec_Settings_Sign;
Codec_Settings_Law;
Codec_Settings_ITU;
Codec_Profile;Perfil do Codec
Codec_Url;Link para o codec
CodecID;
CodecID_Description;
Collection;Coleção
Colorimetry;
ColorSpace;
colour_primaries;
Comment;Comentário
CommissionedBy;Representado por
Compilation;
CompleteName;Nome completo
Composer;Compositor
Compression_Mode;
Compression_Mode_Lossless;
Compression_Mode_Lossy;
Compression_Ratio;
Conductor;Regente
Container and general information;Container e informação geral
ContentType;Conteúdo
CoProducer;Co-Produtor
Copyright;Copyright
CostumeDesigner;Figurinista
Count;Número
Country;País
Cover;Capa
Cover_Datas;Dados da capa
Cover_Description;
Cover_Mime;
Cover_Type;
Cropped;
Custom;Personalizado
Customize;Personalizar
Date;Data
Debug;Depurar
Decimal point;Ponto decimal
Delay;Atraso
Delay_Source;
Delay_Source_Container;
Delay_Source_Stream;
Delete;Excluir
Description;Descrição
Digitized_Date;Data de digitalização
Dimensions;
Director;Diretor
DirectorOfPhotography;Diretor de fotografia
DisplayAspectRatio;Proporção da imagem
DisplayAspectRatio_Original;
DistributedBy;Distribuído por
Donate;Doação
DotsPerInch;
Duration;
Duration_End;
Duration_Start;
Edit;Editar
EditedBy;Editado por
EMail;E-Mail
Encoded_Application;Codificador
Encoded_Date;Data da codificação
Encoded_Library;Biblioteca de codificação
Encoded_Library_Settings;Config. da codificação
Encoded_Original;Original
EncodedBy;Codificado por
EPG_Positions;
Error_File;Erro na leitura do arquivo
ExecutiveProducer;Produtor Executivo
Exit;Sair
Exit_Hint;Fechar o programa
Export;Exportar
Export_Hint;Exportar em um formato personalizado
Extensions;Extensões populares
Family;
Fax;Fax
File;Arquivo
File size;Tamanho do arquivo
File_Append;Anexar a um arquivo existente (Aviso : assegure-se que os parâmetros sejam iguais)
File_Created_Date;
File_Created_Date_Local;
File_Hint;Selecione um arquivo multimídia para examinar
File_Modified_Date;
File_Modified_Date_Local;
FileExtension;Extensão do arquivo
FileName;Nome do arquivo
FileSize;Tamanho do arquivo
Folder;Pasta
Folder (R);Sub-pasta
Folder (R)_Hint;Selecione uma pasta para examinar (incluíndo sub-pastas)
Folder (Recursively);Sub-pasta
Folder_Hint;Selecione uma pasta para examinar
FolderName;Nome da pasta
Format;Formato
Format_Commercial;
Format_Commercial_IfAny;
Format_Description;
Format_Info;
Format_Profile;
Format_Settings;
Format_Settings_PacketBitStream;
Format_Settings_BVOP;
Format_Settings_QPel;
Format_Settings_GMC;
Format_Settings_Matrix;
Format_Settings_Matrix_Custom;
Format_Settings_Matrix_Default;
Format_Settings_Floor;
Format_Settings_CABAC;
Format_Settings_Firm;
Format_Settings_Endianness;
Format_Settings_RefFrames;
Format_Settings_Sign;
Format_Settings_Law;
Format_Settings_ITU;
Format_Settings_SBR;
Format_Settings_PS;
Format_Settings_Pulldown;
Format_Settings_Mode;
Format_Settings_FrameMode;
Format_Settings_Emphasis;
Format_Settings_ModeExtension;
Format_Settings_GOP;
Format_Version;
Format_Url;
FrameCount;
FrameRate;Taxa de quadros
FrameRate_Mode;
FrameRate_Mode_CFR;
FrameRate_Mode_VFR;
FrameRate_Minimum;Taxa de quadros mínima
FrameRate_Nominal;
FrameRate_Maximum;Taxa de quadros máxima
FrameRate_Original;
General;Geral
Genre;Gênero
Genre_000;Blues
Genre_001;Rock Clássico
Genre_002;Country
Genre_003;Dance
Genre_004;Disco
Genre_005;Funk
Genre_006;Grunge
Genre_007;Hip-Hop
Genre_008;Jazz
Genre_009;Metal
Genre_010;New Age
Genre_011;Oldies
Genre_012;Outro
Genre_013;Pop
Genre_014;R&B
Genre_015;Rap
Genre_016;Reggae
Genre_017;Rock
Genre_018;Techno
Genre_019;Industrial
Genre_020;Alternativo
Genre_021;Ska
Genre_022;Death Metal
Genre_023;Pranks
Genre_024;Soundtrack
Genre_025;Euro-Techno
Genre_026;Ambient
Genre_027;Trip-Hop
Genre_028;Vocal
Genre_029;Jazz+Funk
Genre_030;Fusion
Genre_031;Trance
Genre_032;Clássico
Genre_033;Instrumental
Genre_034;Acid
Genre_035;House
Genre_036;Game
Genre_037;Sound Clip
Genre_038;Gospel
Genre_039;Noise
Genre_040;Rock Alternativo
Genre_041;Bass
Genre_042;Soul
Genre_043;Punk
Genre_044;Space
Genre_045;Meditative
Genre_046;Pop Instrumental 
Genre_047;Rock Instrumental 
Genre_048;Ethnic
Genre_049;Gothic
Genre_050;Darkwave
Genre_051;Techno-Industrial
Genre_052;Eletrônico
Genre_053;Pop-Folk
Genre_054;Eurodance
Genre_055;Dream
Genre_056;Southern Rock
Genre_057;Comedy
Genre_058;Cult
Genre_059;Gangsta
Genre_060;Top 40
Genre_061;Christian Rap
Genre_062;Pop/Funk
Genre_063;Jungle
Genre_064;Native American
Genre_065;Cabaret
Genre_066;New Wave
Genre_067;Psychadelic
Genre_068;Rave
Genre_069;Showtunes
Genre_070;Trailer
Genre_071;Lo-Fi
Genre_072;Tribal
Genre_073;Acid Punk
Genre_074;Acid Jazz
Genre_075;Polka
Genre_076;Retro
Genre_077;Musical
Genre_078;Rock & Roll
Genre_079;Hard Rock
Genre_080;Folk
Genre_081;Folk-Rock
Genre_082;National Folk
Genre_083;Swing
Genre_084;Fast Fusion
Genre_085;Bebob
Genre_086;Latino
Genre_087;Revival
Genre_088;Celtic
Genre_089;Bluegrass
Genre_090;Avantgarde
Genre_091;Gothic Rock
Genre_092;Rock Progressivo
Genre_093;Rock Psicodélico 
Genre_094;Rock Sinfônico 
Genre_095;Slow Rock
Genre_096;Big Band
Genre_097;Chorus
Genre_098;Easy Listening
Genre_099;Acústico
Genre_100;Humour
Genre_101;Speech
Genre_102;Chanson
Genre_103;Ópera
Genre_104;Chamber Music
Genre_105;Sonata
Genre_106;Sinfonia
Genre_107;Booty Bass
Genre_108;Primus
Genre_109;Porn Groove
Genre_110;Satire
Genre_111;Slow Jam
Genre_112;Club
Genre_113;Tango
Genre_114;Samba
Genre_115;Folklore
Genre_116;Ballad
Genre_117;Power Ballad
Genre_118;Rhythmic Soul
Genre_119;Freestyle
Genre_120;Dueto
Genre_121;Punk Rock
Genre_122;Drum Solo
Genre_123;A capella
Genre_124;Euro-House
Genre_125;Dance Hall
Genre_126;Goa
Genre_127;Drum & Bass
Genre_128;Club-House
Genre_129;Hardcore
Genre_130;Terror
Genre_131;Indie
Genre_132;Britpop
Genre_133;Negerpunk
Genre_134;Polsk Punk
Genre_135;Beat
Genre_136;Christian Gangsta Rap
Genre_137;Heavy Metal
Genre_138;Black Metal
Genre_139;Crossover
Genre_140;Contemporary Christian
Genre_141;Christian Rock 
Genre_142;Merengue
Genre_143;Salsa
Genre_144;Trash Metal
Genre_145;Anime
Genre_146;JPop
Genre_147;Synthpop
Go to WebSite;Ir para o site
Grouping;
h;h
Header file;Criar um arquivo de cabeçalho
Height;Altura
Height_Original;
Help;Ajuda
Hint;
How many audio streams?;Quantas faixas de áudio?
How many chapters streams?;Quantas faixas de capítulos?
How many text streams?;Quantas faixas de texto?
How many video streams?;Quantas faixas de vídeo?
HTML;HTML
ID;ID
Image;Imagem
Image stream(s);Faixas de imagem
Image_Codec_List;Codecs de Imagem
ImageCount;Número de faixas de imagem
Info;
Instruments;Instrumentos
Interlacement;Entrelaçamento
Interlaced_Interlaced;Entrelaçado
Interlaced_TFF;Primeiro a área superior
Interlaced_BFF;Primeiro a área inferior
Interlaced_PPF;Progressivo
Interlaced_Progressive;Progressivo
Interleaved;
Interleave_Duration;
Interleave_Preload;
Interleave_VideoFrames;
InternetMediaType;
IRCA;IRCA
ISBN;ISBN
ISRC;ISRC
Keywords;Palavras chave
Known codecs;Codecs conhecidos
Known formats;Formatos 
Known parameters;Parâmetros 
Label;Etiqueta
Language;Idioma
Language_More;
Language_aa;Afar
Language_ab;Abcasiano
Language_ae;Avestan
Language_af;Africanês
Language_ak;Akan
Language_am;Amárico
Language_an;Aragonês 
Language_ar;Árabe
Language_as;Assamese
Language_av;Avar
Language_ay;Aymara
Language_az;Azeri 
Language_ba;Bashkir
Language_be;Bielorusso
Language_bg;Búlgaro
Language_bh;Bihari
Language_bi;Bislama
Language_bm;Bambara
Language_bn;Bengali
Language_bo;Tibetano
Language_br;Breton
Language_bs;Bósnio
Language_ca;Catalão
Language_ce;Chechen
Language_ch;Chamorro
Language_co;Corso
Language_cr;Cree
Language_cs;Tcheco
Language_cu;Slave
Language_cv;Tchuvache 
Language_cy;Galês 
Language_da;Danish
Language_de;Alemão
Language_dv;Divehi
Language_dz;Dzongkha
Language_ee;Ewe
Language_el;Grego
Language_en;Inglês
Language_en-gb;
Language_en-us;
Language_eo;Esperanto
Language_es;Espanhol
Language_et;Estoniano
Language_eu;Basco
Language_fa;Persa
Language_ff;Fulah
Language_fi;Finnish
Language_fj;Fijian
Language_fo;Faroese
Language_fr;Francês
Language_fy;Frísia
Language_ga;Iirlandês 
Language_gd;Gaélico
Language_gl;Galician
Language_gn;Guarani
Language_gu;Gujarati
Language_gv;Manx
Language_ha;Hausa
Language_he;Hebreu
Language_hi;Hindi
Language_ho;Hiri Motu
Language_hr;Croata
Language_ht;Haitiano
Language_hu;Húngaro
Language_hy;Armenian
Language_hz;Herero
Language_ia;Associação Auxiliar de Idioma
Language_id;Indonesian
Language_ie;Interlingue
Language_ig;Ibo
Language_ii;Sichuan Yi
Language_ik;Inupiaq
Language_Info;Info do idioma
Language_io;Ido
Language_is;Islandês
Language_it;Italiano
Language_iu;Inuktitut
Language_ja;Japonês
Language_jv;Javanês
Language_ka;Georgian
Language_kg;Kongo
Language_ki;Kikuyu
Language_kj;Kuanyama
Language_kk;Cazaque 
Language_kl;Kalaallisut
Language_km;Khmer
Language_kn;Kannada
Language_ko;Coreano
Language_kr;Kanuri
Language_ks;Kashmiri
Language_ku;Curdo 
Language_kv;Komi
Language_kw;Cornish
Language_ky;Quirguistanês
Language_la;Latim
Language_lb;Lluxemburguês 
Language_lg;Ganda
Language_li;Limburguês 
Language_ln;Lingala
Language_lo;Lao
Language_lt;Lituâno
Language_lu;Luba-Katanga
Language_lv;Letão 
Language_mg;Malagasy
Language_mh;Marshallese
Language_mi;Maori
Language_mk;Macedônico
Language_ml;Malaialo
Language_mn;Mongol
Language_mo;Moldávio
Language_mr;Marathi
Language_ms;Malaio
Language_mt;Maltese
Language_mul;Múltiplos Idiomas
Language_my;Birmanês
Language_na;Nauru
Language_nb;Norueguês 
Language_nd;Ndebele
Language_ne;Nepali
Language_ng;Ndonga
Language_nl;Holandês
Language_nn;Norueguês Nynorsk
Language_no;Norueguês
Language_nr;Ndebele
Language_nv;Navaho
Language_ny;Nyanja
Language_oc;Occitano
Language_oj;Ojibwa
Language_om;Oromo
Language_or;Oriya
Language_os;Osseto 
Language_pa;Panjabi
Language_pi;Pali
Language_pl;Polonês
Language_ps;Pachto 
Language_pt;Portugues
Language_pt-br;
Language_qu;Quechua
Language_rm;Reto-Romance
Language_rn;Rundi
Language_ro;Romêno
Language_ru;Russo
Language_rw;Kinyarwanda
Language_sa;Sânscrito
Language_sc;Sardinian
Language_sd;Sindhi
Language_se;Sami do Norte
Language_sg;Sango
Language_si;Cingalês
Language_sk;Eslovaco
Language_sl;Eslovêno
Language_sm;Samoano
Language_sn;Shona
Language_so;Somali
Language_sq;Albanian
Language_sr;Sérvio
Language_ss;Swati
Language_st;Sotho
Language_su;Sundanês
Language_sv;Suéco
Language_sw;Suaíli 
Language_ta;Tamil
Language_te;Telugu
Language_tg;Tadjique 
Language_th;Thai
Language_ti;Tigrinya
Language_tk;Turkmen
Language_tl;Tagalog
Language_tn;Tswana
Language_to;Tonga
Language_tr;Turco
Language_ts;Tsonga
Language_tt;Tatar
Language_tw;Twi
Language_ty;Taitiano
Language_ug;Uigure
Language_uk;Ucrâniano
Language_ur;Urdu
Language_uz;Uzbeque 
Language_ve;Venda
Language_vi;Vietnamita
Language_vo;Volapuk
Language_wa;Walloon
Language_wo;Wolof
Language_xh;Xhosa
Language_yi;Yiddish
Language_yo;Iorubá
Language_za;Zhuang
Language_zh;Chinês
Language_zh-cn;
Language_zh-tw;
Language_zu;Zulu
LawRating;Classificação
LCCN;LCCN
Library;Biblioteca multiplex
Lightness;
List;
Lyrics;
Lyricist;Liricísta
Mastered_Date;Data de criação
MasteredBy;Criado por
matrix_coefficients;
MediaInfo_About;Provê informação detalhada\r\nsobre um arquivo multimídia:\r\nMatroska, OGG (incluíndo OGM)\r\nMPEG1 (incluíndo VCD)\r\nMPEG2 (incluíndo DVD e SVCD)\r\nMPEG4 (incluíndo Itunes M4A)\r\nQuicktime\r\nRealMedia\r\nWindows Media (incluíndo WMV, WMA)\r\nMicrosoft RIFF (incluíndo AVI, WAV)\r\nSom nos formatos (AC3, DTS, AAC, AU, AIFF...)
Menu;Menu
Menu stream(s);Faixa(s) de menu
Menu_Codec_List;Codecs de menu
Menu_No;Sem menu
MenuCount;Número de faixas de menu
Menu_Hint;Mais possibilidades
MenuID;
mn;mn
Mood;Descrição
More;Mais
Movie;Nome do Filme
ms;ms
MSDI;MSDI
MusicBy;
MuxingMode;
MuxingMode_MoreInfo;
MuxingMode_PackedBitstream;
Name;Nome
Nationality;Nacionalidade
NetworkName;
New;Novo
Newest version;Procurar novas versões (requer conexão com a Internet)
NewVersion_Menu;
NewVersion_Question_Title;
NewVersion_Question_Content;
No;Não
Not yet;
NumColors;
OK;OK
One output file per input file;Um arquivo de saída por um de entrada
Open;Abrir
OpenCandy_01;
OpenCandy_02;
OpenCandy_03;
OpenCandy_04;
OpenCandy_05;
OpenCandy_06;
OpenCandy_07;
OpenCandy_08;
OpenCandy_09;
OpenCandy_10;
OpenCandy_11;
OpenCandy_12;
OpenCandy_13;
OpenCandy_14;
OpenCandy_15;
OpenCandy_16;
OpenCandy_17;
OpenCandy_18;
OpenCandy_19;
OpenCandy_20;
OpenCandy_21;
OpenCandy_22;
OpenCandy_23;
OpenCandy_24;
OpenCandy_25;
OpenCandy_26;
OpenCandy_27;
OpenCandy_28;
OpenCandy_29;
OpenCandy_30;
OpenCandy_31;
OpenCandy_32;
OpenCandy_33;
OpenCandy_34;
OpenCandy_35;
OpenCandy_36;
Options;Opções
Options_Hint;Preferências
Original;Original
OriginalNetworkName;
OriginalSourceForm;
OriginalSourceMedium;
Other;Outro
Output;Saída
Output format;Formato de saída
OverallBitRate;Taxa de Bits Total
OverallBitRate_Maximum;
OverallBitRate_Minimum;
OverallBitRate_Mode;
OverallBitRate_Nominal;
Part;Parte
Part_Count;Número total
Performer;Intérprete
Period;Período
Phone;Telefone
PixelAspectRatio;Proporção de pixels
PixelAspectRatio_Original;Proporção de pixels
PlayCounter;Reproduzido
Played_Count;
Played_First_Date;
Played_Last_Date;
PlayTime;Duração
Position;Posição
Position_Total;
Preferences;Preferências
Producer;Produtor
ProductionDesigner;Designer de Produção
ProductionStudio;Estúdio de Produção
Publisher;Publicador 
Purchased_Date;Data de aquisição
Quote character;Caracter Aspas
RadioStation;Estação de Rádio
Rating;Classificação
Recorded_Date;Data de gravação
Recorded_Location;Local de gravação
Released_Date;Data de lançamento
RemixedBy;Remixado por
ReplayGain_Gain;
ReplayGain_Peak;
Resolution;Resolução
s;s
SamplingRate;Taxa de amostragem
Save;Salvar
ScanType;
ScanOrder;
ScreenplayBy;Roteirista
Season;Temporada
see below;veja abaixo
Send HeaderFile;
Separator_Columns;separador de colunas
Separator_Lines;separador de linhas
ServiceChannel;
ServiceName;
ServiceProvider;
ServiceType;
Set;Ajustar
Set_Count;Ajustar contador
Setup;Configurar
Sharpness;
Sheet;Formulário
Sheet (Complete);Formulário (Completo)
Shell extension;Extensão shell (no explorer, botão direito haverá uma opção Media Info)
Shell extension, folder;
Shell InfoTip;Info. Shell (no explorer, mova o mouse sobre o arquivo, a info. será exibida)
Show menu;Exibir menu
Show toolbar;Exibir barra de ferramentas
Sort;Ordenado por
SamplingCount;
SoundEngineer;Engenheiro de som
Source;
Source_Duration;
Source_FrameCount;
Source_SamplingCount;
Source_StreamSize;
Source_StreamSize_Encoded;
Standard;Padrão
Stream;Faixa
Stream_MoreInfo;Mais informações sobre esta faixa
StreamCount;Número de faixas do mesmo tipo
StreamID;ID da Faixa
StreamKind;Faixa do tipo
StreamKindID;
StreamKindPos;
StreamSize;
StreamSize_Encoded;
StreamSize_Proportion;
Subject;Assunto
SubTrack;Sub-Faixa
Summary;Sumário
Supported formats;Formatos suportados
Supported?;Suportado?
Synopsis;Sinopse
SystemId;Id
Tagged_Application;
Tagged_Date;Etiquetado dia
Technician;Technician
TermsOfUse;Termos de uso
Text;Texto
Text - Custom;Texto - Personalizado
Text (HTML);Texto (HTML)
Text stream(s);Faixa(s) de texto
Text streams;Faixas de texto
Text_Codec_List;Codecs de texto
Text_No;Sem texto
Text1;Primeira faixa de texto
Text2;Segunda 
Text3;Teceira 
TextCount;Número de faixas de texto
ThanksTo;Abrigado à
Thousands separator;Separador de milhar
Title;Título
Title_More;Título, mais info.
TimeZone;
Total;Total
Track;Nome da faixa
Track_Count;Número da faixa
transfer_characteristics;
Translator;Tradutor
Tree;Árvore
Tree & Text;Árvore & Texto
UniqueID;
Unknown;Desconhecido
Url;Url
Video;Vídeo
Video stream(s);Faixa(s) de Vídeo
Video_Codec_List;Codecs de Vídeo
Video_Delay;Atraso do Video
Video_No;Sem Vídeo
Video0_Delay;Atraso do Video0
Video1;Primeira faixa de vídeo
VideoCount;Número de faixas de vídeo
View;Exibir
View_Hint;Mudar o modo de exibição da informação
Warning : more streams in the files;Aviso : there are more streams in the files
Web;Web
WebSite_Audio;Vá até o site deste codec de áudio
WebSite_Audio_More;Vá até o site (%Url%) para encontrar este codec de áudio
WebSite_General;Vá até o site de um player para este arquivo
WebSite_General_More;Go to the web site of a player for this file
WebSite_Text;Vá até o site deste codec de texto
WebSite_Text_More;Vá até o site (%Url%) para encontrar este codec de texto
WebSite_Url;http://mediainfo.sourceforge.net
WebSite_Video;Vá até o site deste codec de vídeo
WebSite_Video_More;Vá até o site (%Url%) para encontrar este codec de vídeo
Width;Largura
Width_Original;
WriteMe;Escreva-me
WriteToTranslator;Escreva para o tradutor
Written_Date;Data da escrita
Written_Location;Local da escrita
WrittenBy;Escrito por
Yes;Sim
Your system;Seu sistema
ZZ_Automatic_Percent;78
ZZ_AutomaticLanguage_Percent;82
