  Language_ISO639;sq
Choose custom text;Zgjedh me porosi tekstin e dëshiruar
Choose export format;Zgjedh formatin e eksportimit të dëshiruar
Choose file(s);Zgjedh skedat që të hapen
Choose filename;Zgjedh emrin e skedës së dëshiruar
Choose language;Zgjedh gjuhën e dëshiruar
Choreographer;Koreografi
Chroma;Kroma
ChromaSubsampling;
ClearList;
Close;Mbyll
Close all before open;Mbyll infot para hapjes
ClosedCaptionsLanguage;
ClosedCaptionsPresent;
ClosedCaptionsType;
Codec;Kodeku
Codec_Description;Përshkrimi i kodekut
Codec_Info;Detajet e kodekut
Codec_Profile;Profili i kodekut
Codec_Settings;Vendosjet e kodekut
Codec_Settings_BVOP;Vendosjet e kodekut, BVOP
Codec_Settings_CABAC;Vendosjet e kodekut, CABAC
Codec_Settings_Endianness;Vendosjet e kodekut, Endianness
Codec_Settings_Firm;Vendosjet e kodekut, Firm
Codec_Settings_Floor;Vendosjet e kodekut, Floor
Codec_Settings_GMC;Vendosjet e kodekut, GMC
Codec_Settings_ITU;Vendosjet e kodekut, ITU
Codec_Settings_Law;Vendosjet e kodekut, Law
Codec_Settings_Matrix;Vendosjet e kodekut, Matrix
Codec_Settings_PacketBitStream;Vendosjet e kodekut, Packet bitstream
Codec_Settings_QPel;Vendosjet e kodekut, QPel
Codec_Settings_Sign;Vendosjet e kodekut, Sign
Codec_Url;Lidhësi në rrjetë i kodekut
CodecConfigurationBox;
CodecID;ID i kodekut
CodecID_Description;Përshkrimi i kodekut
CoDirector;
Collection;Koleksioni
Colorimetry;Kolorimetria
ColorSpace;
colour_primaries;Primarët e ngjyrës
colour_range;
Comment;Komenti
CommissionedBy;Autorizuar nga
Compilation;
CompleteName;Emri i plotë
CompletionDate;
ComplexityIndex;
Composer;Kompozitori
Compression_Mode;
Compression_Mode_Lossless;
Compression_Mode_Lossy;
Compression_Ratio;Raporti i kompresimit
Conductor;Dirigjenti
ContactEmail;
ContactTelephoneNumber;
Container and general information;Mbajtësi dhe info në përgjithësi
ContentType;Lloji i përmbajtjes
CoProducer;Koproducent
Copyright;Të drejtat e autorit
CopyrightYear;
CostumeDesigner;Modeluesi i kostumit
Count;Numërimi
Country;Vendi
Cover;Cover-i
Cover_Datas;Të dhënat e cover-it
Cover_Description;Përshkrimi i cover-it
Cover_Mime;MIME i cover-it
Cover_Type;Lloji i cover-it
Cropped;Dimensionet e prerjes
Custom;Me porosi
Customize;Porosit
DarkMode;
Date;Data
Debug;Debug
Decimal point;Pika dhjetore
Default_Setting;
Delay;Vonesa
Delay_Source;
Delay_Source_Container;
Delay_Source_Stream;
Delete;Fshij
Description;Përshkrimi
Digitized_Date;Data e shifruar
Dimensions;Dimensione
Director;Regjisori
DirectorOfPhotography;Regjisori i fotografisë
Disabled;
DisplayAspectRatio;Raporti i aspektit në ekran
DisplayAspectRatio_CleanAperture;
DisplayAspectRatio_Original;Raporti origjinal i aspektit në ekran
DistributedBy;Shpërndarë nga
Distributor;
Donate;Jep kontribut
DotsPerInch;Pika për inç
Duration;Kohëzgjatja
Duration_End;Koha e përfundimit
Duration_Start;Koha e nisjes
Edit;Edito
EditedBy;Edituar nga
ElementCount;
EMail;Posta-e
Encoded_Application;Aplikimi i shkrimit
Encoded_Date;Data e kodimit
Encoded_Library;Libraria e shkrimit
Encoded_Library_Settings;Vendosjet e kodimit
Encoded_Original;Origjinal
EncodedBy;Koduar nga
EPG_Positions;Pozicionet EPG (të brendshme)
EpisodeTitleNumber;
Error_File;Gabim gjatë leximit të skedës
Error_File_Write;
ExecutiveProducer;Producenti ekzekutiv
Exit;Dalje
Exit_Hint;Mbyll Programin
Export;Eksporto
Export_Hint;Eksporto në format të porositur
Extensions;Siglat e zakonshme
External_Media_NotMounted;
Family;Familja
Fax;Faks
File;Skedë
File size;Masa e skedës
File_Append;Bashkangjit te skeda ekzistuese (Kujdes : duhen pasur të njëjtët parametra)
File_Created_Date;Data e krijimit të skedës
File_Created_Date_Local;Data e krijimit të skedës (lokale)
File_Hint;Studio një skedë multimediatike
File_Modified_Date;Modifikimi i fundit i skedës
File_Modified_Date_Local;Modifikimi i fundit i skedës
FileExtension;Sigla e skedës
FileName;Emri i skedës
FileNameExtension;
FileSize;Masa e skedës
Folder;Dosje
Folder (R);Dosje (R)
Folder (R)_Hint;Studio një dosje (me gjithë dosjet si rekursive)
Folder (Recursively);Dosje (Rekursive)
Folder_Hint;Studio një dosje
FolderName;Emri i dosjes
Format;Formati
Format_Commercial;
Format_Commercial_IfAny;
Format_Description;Përshkrimi i formatit
Format_Info;Detajet e formatit
Format_Level;
Format_Profile;Profili i formatit
Format_Settings;Vendosjet e formatit
Format_Settings_BVOP;Vendosjet e formatit, BVOP
Format_Settings_CABAC;Vendosjet e formatit, CABAC
Format_Settings_Emphasis;Emfaza
Format_Settings_Endianness;Vendosjet e formatit, Endianness
Format_Settings_Firm;Vendosjet e formatit, Firm
Format_Settings_Floor;Vendosjet e formatit, Floor
Format_Settings_FrameMode;Mënyra e Kuadrit
Format_Settings_GMC;Vendosjet e formatit, GMC
Format_Settings_GOP;
Format_Settings_ITU;Vendosjet e formatit, ITU
Format_Settings_Law;Vendosjet e formatit, Law
Format_Settings_Matrix;Vendosjet e formatit, Matrix
Format_Settings_Matrix_Custom;Me porosi
Format_Settings_Matrix_Default;Tipike
Format_Settings_Mode;Mënyra
Format_Settings_ModeExtension;
Format_Settings_PacketBitStream;Vendosjet e formatit, Packet bitstream
Format_Settings_PictureStructure;
Format_Settings_PS;Vendosjet e formatit, PS
Format_Settings_Pulldown;Vendosjet e formatit, Pulldown
Format_Settings_QPel;Vendosjet e formatit, QPel
Format_Settings_RefFrames;Vendosjet e formatit, RefFrames
Format_Settings_SBR;Vendosjet e formatit, SBR
Format_Settings_Sign;Vendosjet e formatit, Sign
Format_Settings_Wrapping;
Format_Tier;
Format_Url;Lidhësi në rrjetë i formatit
Format_Version;Versioni i formatit
FpaManufacturer;
FpaPass;
FpaVersion;
FrameCount;Numri i kuadrove
FrameRate;Raporti i kuadrit
FrameRate_Maximum;Raporti maksimal i kuadrit
FrameRate_Minimum;Raporti minimal i kuadrit
FrameRate_Mode;Mënyra e raportit të kuadrit
FrameRate_Mode_CFR;Konstant
FrameRate_Mode_VFR;Variabël
FrameRate_Nominal;Raporti nominal i kuadrit
FrameRate_Original;Raporti origjinal i kuadrit
General;Përgjithësi
Genre;Zhanri
Genre_000;Blues
Genre_001;Classic Rock
Genre_002;Country
Genre_003;Dance
Genre_004;Disco
Genre_005;Funk
Genre_006;Grunge
Genre_007;Hip-Hop
Genre_008;Jazz
Genre_009;Metal
Genre_010;New Age
Genre_011;Oldies
Genre_012;Other
Genre_013;Pop
Genre_014;R&B
Genre_015;Rap
Genre_016;Reggae
Genre_017;Rock
Genre_018;Techno
Genre_019;Industrial
Genre_020;Alternative
Genre_021;Ska
Genre_022;Death Metal
Genre_023;Pranks
Genre_024;Soundtrack
Genre_025;Euro-Techno
Genre_026;Ambient
Genre_027;Trip-Hop
Genre_028;Vocal
Genre_029;Jazz+Funk
Genre_030;Fusion
Genre_031;Trance
Genre_032;Classical
Genre_033;Instrumental
Genre_034;Acid
Genre_035;House
Genre_036;Game
Genre_037;Sound Clip
Genre_038;Gospel
Genre_039;Noise
Genre_040;AlternRock
Genre_041;Bass
Genre_042;Soul
Genre_043;Punk
Genre_044;Space
Genre_045;Meditative
Genre_046;Instrumental Pop
Genre_047;Instrumental Rock
Genre_048;Ethnic
Genre_049;Gothic
Genre_050;Darkwave
Genre_051;Techno-Industrial
Genre_052;Electronic
Genre_053;Pop-Folk
Genre_054;Eurodance
Genre_055;Dream
Genre_056;Southern Rock
Genre_057;Comedy
Genre_058;Cult
Genre_059;Gangsta
Genre_060;Top 40
Genre_061;Christian Rap
Genre_062;Pop/Funk
Genre_063;Jungle
Genre_064;Native American
Genre_065;Cabaret
Genre_066;New Wave
Genre_067;Psychadelic
Genre_068;Rave
Genre_069;Showtunes
Genre_070;Trailer
Genre_071;Lo-Fi
Genre_072;Tribal
Genre_073;Acid Punk
Genre_074;Acid Jazz
Genre_075;Polka
Genre_076;Retro
Genre_077;Musical
Genre_078;Rock & Roll
Genre_079;Hard Rock
Genre_080;Folk
Genre_081;Folk-Rock
Genre_082;National Folk
Genre_083;Swing
Genre_084;Fast Fusion
Genre_085;Bebob
Genre_086;Latin
Genre_087;Revival
Genre_088;Celtic
Genre_089;Bluegrass
Genre_090;Avantgarde
Genre_091;Gothic Rock
Genre_092;Progressive Rock
Genre_093;Psychedelic Rock
Genre_094;Symphonic Rock
Genre_095;Slow Rock
Genre_096;Big Band
Genre_097;Chorus
Genre_098;Easy Listening
Genre_099;Acoustic
Genre_100;Humour
Genre_101;Speech
Genre_102;Chanson
Genre_103;Opera
Genre_104;Chamber Music
Genre_105;Sonata
Genre_106;Symphony
Genre_107;Booty Bass
Genre_108;Primus
Genre_109;Porn Groove
Genre_110;Satire
Genre_111;Slow Jam
Genre_112;Club
Genre_113;Tango
Genre_114;Samba
Genre_115;Folklore
Genre_116;Ballad
Genre_117;Power Ballad
Genre_118;Rhythmic Soul
Genre_119;Freestyle
Genre_120;Duet
Genre_121;Punk Rock
Genre_122;Drum Solo
Genre_123;A capella
Genre_124;Euro-House
Genre_125;Dance Hall
Genre_126;Goa
Genre_127;Drum & Bass
Genre_128;Club-House
Genre_129;Hardcore
Genre_130;Terror
Genre_131;Indie
Genre_132;Britpop
Genre_133;Negerpunk
Genre_134;Polsk Punk
Genre_135;Beat
Genre_136;Christian Gangsta Rap
Genre_137;Heavy Metal
Genre_138;Black Metal
Genre_139;Crossover
Genre_140;Contemporary Christian
Genre_141;Christian Rock
Genre_142;Merengue
Genre_143;Salsa
Genre_144;Trash Metal
Genre_145;Anime
Genre_146;JPop
Genre_147;Synthpop
Genre_148;
Genre_149;
Genre_150;
Genre_151;
Genre_152;
Genre_153;
Genre_154;
Genre_155;
Genre_156;
Genre_157;
Genre_158;
Genre_159;
Genre_160;
Genre_161;
Genre_162;
Genre_163;
Genre_164;
Genre_165;
Genre_166;
Genre_167;
Genre_168;
Genre_169;
Genre_170;
Genre_171;
Genre_172;
Genre_173;
Genre_174;
Genre_175;
Genre_176;
Genre_177;
Genre_178;
Genre_179;
Genre_180;
Genre_181;
Genre_182;
Genre_183;
Genre_184;
Genre_185;
Genre_186;
Genre_187;
Genre_188;
Genre_189;
Genre_190;
Genre_191;
Go to WebSite;Shko te trualli në rrjetë
Gop_OpenClosed;
Gop_OpenClosed_Closed;
Gop_OpenClosed_FirstFrame;
Gop_OpenClosed_Open;
Grouping;
h; h
HDR_Format;
Header file;Krijo një kokë skede
Height;Lartësia
Height_CleanAperture;
Height_Original;
Help;Ndihmë
Hint;Këshillë
How many audio streams?;Sa rryma të audios?
How many chapters streams?;Sa rryma të kapitujve?
How many text streams?;Sa rryma të tekstit?
How many video streams?;Sa rryma të videos?
HTML;HTML
ID;ID
IdentClockStart;
Image;Imazh
Image stream(s);Rrymat e imazhit
Image_Codec_List;Kodekët e imazhit
ImageCount;Numri i rrymave të imazhit
Info;Info
Instruments;Instrumenti
Interlaced_BFF;Më Parë Fusha Poshtë
Interlaced_Interlaced;Gërshetohet
Interlaced_PPF;Progresiv
Interlaced_Progressive;Progresiv
Interlaced_TFF;Më Parë Fusha Sipër
Interlacement;Gërshetimi
Interleave_Duration;Gërshetimi, kohëzgjatja
Interleave_Preload;Gërshetimi, kohëzgjatja para hapjes
Interleave_VideoFrames;Gërshetimi, kohëzgjatja
Interleaved;
InternetMediaType;
IRCA;IRCA
ISBN;ISBN
ISRC;ISRC
Keywords;Fjalët kyçe
Known codecs;Kodekët e njohur
Known formats;Formatet e njohura
Known parameters;Parametrat e njohur
Label;Etiketa
Language;Gjuha
Language_aa;Afar
Language_ab;Abkhazian
Language_ae;Avestan
Language_af;Afrikaans
Language_ak;Akan
Language_am;Amharic
Language_an;Aragonese
Language_ar;Arabisht
Language_as;Assamese
Language_av;Avaric
Language_ay;Aymara
Language_az;Azerbaijani
Language_ba;Bashkir
Language_be;Belarusian
Language_bg;Bullgarisht
Language_bh;Bihari
Language_bi;Bislama
Language_bm;Bambara
Language_bn;Bengali
Language_bo;Tibetan
Language_br;Breton
Language_bs;Bosnian
Language_ca;Katalanisht
Language_ce;Chechen
Language_ch;Chamorro
Language_co;Corsican
Language_cr;Cree
Language_cs;Çekisht
Language_cu;Sllavisht
Language_cv;Chuvash
Language_cy;Welsh
Language_da;Danisht
Language_de;Gjermanisht
Language_dv;Divehi
Language_dz;Dzongkha
Language_ee;Ewe
Language_el;Greqisht
Language_en;Anglisht
Language_en-gb;Anglisht (Britani e Madhe)
Language_en-us;Anglisht (Shtetet e Bashkuara)
Language_eo;Esperanto
Language_es;Spanjisht
Language_es-419;
Language_et;Estonian
Language_eu;Basque
Language_fa;Persisht
Language_ff;Fulah
Language_fi;Finlandisht
Language_fj;Fijian
Language_fo;Faroese
Language_fr;Frëngjisht
Language_fy;Frisian
Language_ga;Irlandisht
Language_gd;Gaelic
Language_gl;Galician
Language_gn;Guarani
Language_gu;Gujarati
Language_gv;Manx
Language_ha;Hausa
Language_he;Hebraisht
Language_hi;Hindi
Language_ho;Hiri Motu
Language_hr;Croatian
Language_ht;Haitian
Language_hu;Hungarisht
Language_hy;Armenisht
Language_hz;Herero
Language_ia;Auxiliary Language Association
Language_id;Indonesian
Language_ie;Interlingue
Language_ig;Igbo
Language_ii;Sichuan Yi
Language_ik;Inupiaq
Language_Info;Infot e gjuhës
Language_io;Ido
Language_is;Islandisht
Language_it;Italisht
Language_iu;Inuktitut
Language_ja;Japonisht
Language_jv;Javanese
Language_ka;Georgian
Language_kg;Kongo
Language_ki;Kikuyu
Language_kj;Kuanyama
Language_kk;Kazakh
Language_kl;Kalaallisut
Language_km;Khmer
Language_kn;Kannada
Language_ko;Korean
Language_kr;Kanuri
Language_ks;Kashmiri
Language_ku;Kurdish
Language_kv;Komi
Language_kw;Cornish
Language_ky;Kirghiz
Language_la;Latinisht
Language_lb;Luxembourgish
Language_lg;Ganda
Language_li;Limburgish
Language_ln;Lingala
Language_lo;Lao
Language_lt;Lituanisht
Language_lu;Luba-Katanga
Language_lv;Letonisht
Language_mg;Malagasy
Language_mh;Marshallese
Language_mi;Maori
Language_mk;Maqedonisht
Language_ml;Malayalam
Language_mn;Mongolian
Language_mo;Moldavisht
Language_More;Gjuha, më tepër info
Language_mr;Marathi
Language_ms;Malay
Language_mt;Maltese
Language_mul;Shumë gjuhë
Language_my;Burmese
Language_na;Nauru
Language_nb;Norwegian Bokmal
Language_nd;Ndebele
Language_ne;Nepali
Language_ng;Ndonga
Language_nl;Holandisht
Language_nn;Norwegian Nynorsk
Language_no;Norvegjisht
Language_nr;Ndebele
Language_nv;Navaho
Language_ny;Nyanja
Language_oc;Occitan
Language_oj;Ojibwa
Language_om;Oromo
Language_or;Oriya
Language_os;Ossetic
Language_pa;Panjabi
Language_pi;Pali
Language_pl;Polonisht
Language_ps;Pushto
Language_pt;Portugalisht
Language_pt-br;Portugalisht (Brazil)
Language_qu;Quechua
Language_rm;Raeto-Romance
Language_rn;Rundi
Language_ro;Rumanisht
Language_ru;Rusisht
Language_rw;Kinyarwanda
Language_sa;Sanskritisht
Language_sc;Sardinian
Language_sd;Sindhi
Language_se;Northern Sami
Language_sg;Sango
Language_si;Sinhala
Language_sk;Sllovakisht
Language_sl;Sllovenisht
Language_sm;Samoan
Language_sn;Shona
Language_so;Somalisht
Language_sq;Shqip
Language_sr;Serbisht
Language_ss;Swati
Language_st;Sotho
Language_su;Sundanisht
Language_sv;Suedisht
Language_sw;Swahili
Language_ta;Tamil
Language_te;Telugu
Language_tg;Tajik
Language_th;Thai
Language_ti;Tigrinya
Language_tk;Turkmen
Language_tl;Tagalog
Language_tn;Tswana
Language_to;Tonga
Language_tr;Turqisht
Language_ts;Tsonga
Language_tt;Tatar
Language_tw;Twi
Language_ty;Tahitian
Language_ug;Uighur
Language_uk;Ukrainian
Language_ur;Urdu
Language_uz;Uzbek
Language_ve;Venda
Language_vi;Vietnamisht
Language_vo;Volapuk
Language_wa;Walloon
Language_wo;Wolof
Language_xh;Xhosa
Language_yi;Yiddish
Language_yo;Yoruba
Language_za;Zhuang
Language_zh;Kinezisht
Language_zh-cn;Kinezisht (Kinë)
Language_zh-tw;Kinezisht (Tajvan)
Language_zu;Zulu
LawRating;Vlerësimi ligjor
LCCN;LCCN
Library;Libraria e muksimit
Lightness;Dritësia
LineUpStart;
List;Lista
Lyricist;Shkrimtari
Lyrics;Fjalët
Mastered_Date;Data e masterizimit
MasteredBy;Masterizuar nga
MasteringDisplay_ColorPrimaries;
MasteringDisplay_Luminance;
Matrix_Channel(s);
Matrix_ChannelPositions;
matrix_coefficients;Koeficientët e matricës
Matrix_Format;
MaxCLL;
MaxFALL;
MediaInfo_About;Jep informacione shumë të detajuara për\r\nskedat multimediatike:\r\nMatroska, OGG (përfshirë OGM)\r\nMPEG1 (përfshirë VCD)\r\nMPEG2 (përfshirë DVD dhe SVCD)\r\nMPEG4 (përfshirë Itunes M4A)\r\nQuicktime\r\nRealMedia\r\nWindowsMedia (përfshirë WMV, WMA)\r\nMicrosoft RIFF (përfshirë AVI, WAV)\r\nFormate zanore (AC3, DTS, AAC, AU, AIFF...)
MediaInfo_About_About;
Menu;Meny
Menu stream(s);Rrymat e menysë
Menu_Codec_List;Kodekët e menysë
Menu_Hint;Mundësi të tjera
Menu_No;Pa meny
MenuCount;Numri i rrymave të menysë
MenuID;ID i menysë
mn; min
Mood;Gjendja shpirtërore
More;Akoma
Movie;Emri i filmit
ms; ms
MSDI;MSDI
MusicBy;Muzikë nga
MuxingMode;Mënyra e muksimit
MuxingMode_MoreInfo;Mënyra e muksimit, më shumë info
MuxingMode_PackedBitstream;Rryma e bitit e paketuar
Name;Emri
Nationality;Kombësia
NetworkName;Emri i rrjetit
New;E re
Newest version;Verifiko versionin më të ri (nevojitet lidhje me internet)
NewVersion_Menu;Ka dalë një version i ri
NewVersion_Question_Content;Ka dalë një version i ri (v%Version%), do e shkarkoni?
NewVersion_Question_Title;Është lëshuar një version i ri!
No;Jo
Not yet;Ende jo
NumberOfDynamicObjects;
NumColors;Numri i ngjyrave
OK;OK
One output file per input file;Një skedë output për skedë input
Open;Hap
OpenCandy_01;Shkarkimi i ________
OpenCandy_02;__ % Përfunduar
OpenCandy_03;Ndërpret lidhjen me internetin
OpenCandy_04;Përfundon shkarkimi i ________
OpenCandy_05;Klikoni për të instaluar ________
OpenCandy_06;Jeni i sigurt se doni të anuloni instalimin?\r\nNëse do e shtyni instalimin për më vonë, zgjidheni 'Jo'.\r\nShënim: Mund të zgjidhni Dalje nga menyja për të ndryshuar instalimin herën tjetër që kompjuteri do të rinisë.
OpenCandy_07;Pushon shkarkimi i ________.\r\nKlikoni mbi ikonën në brez për të rimarrë shkarkimin.
OpenCandy_08;Ka ndodhur një gabim kritik. Do ndërpritet instalimi i _________.
OpenCandy_09;Pusho shkarkimin
OpenCandy_10;Anulo shkarkimin
OpenCandy_11;Rimerr shkarkimin
OpenCandy_12;Dalje nga Instaluesi
OpenCandy_13;___________ - Rekomanduar nga ____________
OpenCandy_14;Shkarkimi i _________
OpenCandy_15;___________, softueri që është rekomanduar nga ___________, po shkarkohet me kërkesën tuaj.\r\nNe do ju tregojmë kur të jetë gati të instalohet.
OpenCandy_16;___________ është gati të instalohet
OpenCandy_17;___________ është shkarkuar plotësisht. Ju lutem klikoni 'Instalo' për të vijuar.
OpenCandy_18;___________ nga ___________ e shkarkuar
OpenCandy_19;Sponsorizuar nga OpenCandy
OpenCandy_20;Mëso më shumë në OpenCandy.com
OpenCandy_21;Instalo
OpenCandy_22;Instalimi i ___________
OpenCandy_23;Kjo do anulojë instalimin e ___________\r\nJeni i sigurt se doni të dilni?
OpenCandy_24;Pusho
OpenCandy_25;Shkarkimi juaj pushon. Klikoni 'Rimerr' kur të jeni gati për të vijuar.
OpenCandy_26;Rimerr
OpenCandy_27;Instalo Tani
OpenCandy_28;Pusho Shkarkimin
OpenCandy_29;Rimerr Shkarkimin
OpenCandy_30;Anulo Instalimin
OpenCandy_31;Ju lutem zgjidhni mundësinë e instalimit
OpenCandy_32;Instalo ___________
OpenCandy_33;Mos Instalo
OpenCandy_34;Ju lutem zgjidhni një mundësi instalimi
OpenCandy_35;______ rekomandon këtë softuer
OpenCandy_36;Instalimi juaj aktual nuk do ndërpritet
OpenCaptionsLanguage;
OpenCaptionsPresent;
OpenCaptionsType;
Options;Mundësi
Options_Hint;Pëlqime
Original;Origjinal
OriginalNetworkName;Emri origjinal i rrjetit
OriginalSourceForm;Forma origjinale e burimit
OriginalSourceMedium;Mediumi origjinal i burimit
OriginalSourceMedium_ID;
Originator;
Other;Tjetër
OtherIdentifier;
OtherIdentifierType;
Output;Outputi
Output format;Formati i outputit
OverallBitRate;Raporti i plotë i bitit
OverallBitRate_Maximum;Raporti maksimal i plotë i bitit
OverallBitRate_Minimum;Raporti minimal i plotë i bitit
OverallBitRate_Mode;Mënyra e raportit të plotë të bitit
OverallBitRate_Nominal;Raporti nominal i plotë i bitit
PackageName;
Part;Pjesa
Part_Count;Numri total
PartNumber;
PartTotal;
Performer;Interpretuesi
Period;Periudha
Phone;Telefoni
PictureRatio;
PixelAspectRatio;Raporti i aspektit të pikselit
PixelAspectRatio_CleanAperture;
PixelAspectRatio_Original;Raporti origjinal i aspektit të pikselit
PlayCounter;Njehsori i lojës
Played_Count;Herët e Luajtura
Played_First_Date;Luajtur në Fillim
Played_Last_Date;Luajtur së Fundmi
PlayTime;Koha e lojës
PodcastCategory;
Position;Pozicioni
Position_Total;Totali
Preferences;Pëlqime
Premium;
Premium_Summary;
PrimaryAudioLanguage;
Producer;Producenti
ProductionDesigner;Modeluesi i produksionit
ProductionNumber;
ProductionStudio;Studio e produksionit
ProductPlacement;
ProgrammeHasText;
ProgrammeTextLanguage;
ProgrammeTitle;
Publisher;Publikuesi
Purchased_Date;Data e blerjes
Quote character;Citimi i personazhit
RadioStation;Stacioni i radios
Rating;Vlerësimi
Recorded_Date;Data e regjistrimit
Recorded_Location;Vendndodhja e regjistrimit
Released_Date;Data e lëshimit
