  Language_ISO639;de
FileName;Dateiname
FileSize;DateigrÃ¶ÃŸe
Folder;Verzeichnis
Folder (R);Verzeichnis (R)
Folder (R)_Hint;Verzeichnis zum Betrachten auswÃ¤hlen (rekursiv mit allen Unterverzeichnissen)
Folder (Recursively);Verzeichnis (rekursiv)
Folder_Hint;Verzeichnis zum Betrachten auswÃ¤hlen
FolderName;Verzeichnisname
Format;Format
Format_Commercial;
Format_Commercial_IfAny;
Format_Description;Format-Beschreibung
Format_Info;Format-Details
Format_Profile;Format-Profil
Format_Settings;Format-Einstellungen
Format_Settings_BVOP;Format-Einstellungen fÃ¼r BVOP
Format_Settings_CABAC;Format-Einstellungen fÃ¼r CABAC
Format_Settings_Emphasis;
Format_Settings_Endianness;Format-Einstellungen fÃ¼r Endianess
Format_Settings_Firm;Format-Einstellungen fÃ¼r Firm
Format_Settings_Floor;Format-Einstellungen fÃ¼r Floor
Format_Settings_FrameMode;
Format_Settings_GMC;Format-Einstellungen fÃ¼r GMC
Format_Settings_GOP;
Format_Settings_ITU;Format-Einstellungen fÃ¼r ITU
Format_Settings_Law;Format-Einstellungen fÃ¼r Law
Format_Settings_Matrix;Format-Einstellungen fÃ¼r Matrix
Format_Settings_Matrix_Custom;ausgewÃ¤hlt
Format_Settings_Matrix_Default;Ã¼blich
Format_Settings_Mode;
Format_Settings_ModeExtension;
Format_Settings_PacketBitStream;Format-Einstellungen, Packet bitstream
Format_Settings_PictureStructure;
Format_Settings_PS;Format-Einstellungen fÃ¼r PS
Format_Settings_Pulldown;Format-Einstellungen fÃ¼r Pulldown
Format_Settings_QPel;Format-Einstellungen fÃ¼r Qpel
Format_Settings_RefFrames;Format-Einstellungen fÃ¼r ReFrames
Format_Settings_SBR;Format-Einstellungen fÃ¼r SBR
Format_Settings_Sign;Format-Einstellungen fÃ¼r Sign
Format_Settings_Wrapping;
Format_Url;Web-Link zum Format
Format_Version;Format-Version
FpaManufacturer;
FpaPass;
FpaVersion;
FrameCount;Anzahl der Frames
FrameRate;Bildwiederholungsrate
FrameRate_Maximum;maximale Bildwiederholungsrate
FrameRate_Minimum;minimale Bildwiederholungsrate
FrameRate_Mode;Modus der Bildwiederholungsrate
FrameRate_Mode_CFR;konstant
FrameRate_Mode_VFR;variabel
FrameRate_Nominal;nominale Bildwiederholungsrate
FrameRate_Original;originale Bildwiederholungsrate
General;Allgemein
Genre;Genre
Genre_000;Blues
Genre_001;Classic Rock
Genre_002;Country
Genre_003;Dance
Genre_004;Disco
Genre_005;Funk
Genre_006;Grunge
Genre_007;Hip-Hop
Genre_008;Jazz
Genre_009;Metal
Genre_010;New Age
Genre_011;Oldies
Genre_012;Other
Genre_013;Pop
Genre_014;R&B
Genre_015;Rap
Genre_016;Reggae
Genre_017;Rock
Genre_018;Techno
Genre_019;Industrial
Genre_020;Alternative
Genre_021;Ska
Genre_022;Death Metal
Genre_023;Pranks
Genre_024;Soundtrack
Genre_025;Euro-Techno
Genre_026;Ambient
Genre_027;Trip-Hop
Genre_028;Vocal
Genre_029;Jazz+Funk
Genre_030;Fusion
Genre_031;Trance
Genre_032;Classical
Genre_033;Instrumental
Genre_034;Acid
Genre_035;House
Genre_036;Game
Genre_037;Sound Clip
Genre_038;Gospel
Genre_039;Noise
Genre_040;AlternRock
Genre_041;Bass
Genre_042;Soul
Genre_043;Punk
Genre_044;Space
Genre_045;Meditative
Genre_046;Instrumental Pop
Genre_047;Instrumental Rock
Genre_048;Ethnic
Genre_049;Gothic
Genre_050;Darkwave
Genre_051;Techno-Industrial
Genre_052;Electronic
Genre_053;Pop-Folk
Genre_054;Eurodance
Genre_055;Dream
Genre_056;Southern Rock
Genre_057;Comedy
Genre_058;Cult
Genre_059;Gangsta
Genre_060;Top 40
Genre_061;Christian Rap
Genre_062;Pop/Funk
Genre_063;Jungle
Genre_064;Native American
Genre_065;Cabaret
Genre_066;New Wave
Genre_067;Psychadelic
Genre_068;Rave
Genre_069;Showtunes
Genre_070;Trailer
Genre_071;Lo-Fi
Genre_072;Tribal
Genre_073;Acid Punk
Genre_074;Acid Jazz
Genre_075;Polka
Genre_076;Retro
Genre_077;Musical
Genre_078;Rock & Roll
Genre_079;Hard Rock
Genre_080;Folk
Genre_081;Folk-Rock
Genre_082;National Folk
Genre_083;Swing
Genre_084;Fast Fusion
Genre_085;Bebob
Genre_086;Latin
Genre_087;Revival
Genre_088;Celtic
Genre_089;Bluegrass
Genre_090;Avantgarde
Genre_091;Gothic Rock
Genre_092;Progressive Rock
Genre_093;Psychedelic Rock
Genre_094;Symphonic Rock
Genre_095;Slow Rock
Genre_096;Big Band
Genre_097;Chorus
Genre_098;Easy Listening
Genre_099;Acoustic
Genre_100;Humour
Genre_101;Speech
Genre_102;Chanson
Genre_103;Opera
Genre_104;Chamber Music
Genre_105;Sonata
Genre_106;Symphony
Genre_107;Booty Bass
Genre_108;Primus
Genre_109;Porn Groove
Genre_110;Satire
Genre_111;Slow Jam
Genre_112;Club
Genre_113;Tango
Genre_114;Samba
Genre_115;Folklore
Genre_116;Ballad
Genre_117;Power Ballad
Genre_118;Rhythmic Soul
Genre_119;Freestyle
Genre_120;Duet
Genre_121;Punk Rock
Genre_122;Drum Solo
Genre_123;A capella
Genre_124;Euro-House
Genre_125;Dance Hall
Genre_126;Goa
Genre_127;Drum & Bass
Genre_128;Club-House
Genre_129;Hardcore
Genre_130;Terror
Genre_131;Indie
Genre_132;Britpop
Genre_133;Negerpunk
Genre_134;Polsk Punk
Genre_135;Beat
Genre_136;Christian Gangsta Rap
Genre_137;Heavy Metal
Genre_138;Black Metal
Genre_139;Crossover
Genre_140;Contemporary Christian
Genre_141;Christian Rock
Genre_142;Merengue
Genre_143;Salsa
Genre_144;Trash Metal
Genre_145;Anime
Genre_146;JPop
Genre_147;Synthpop
Genre_148;
Genre_149;
Genre_150;
Genre_151;
Genre_152;
Genre_153;
Genre_154;
Genre_155;
Genre_156;
Genre_157;
Genre_158;
Genre_159;
Genre_160;
Genre_161;
Genre_162;
Genre_163;
Genre_164;
Genre_165;
Genre_166;
Genre_167;
Genre_168;
Genre_169;
Genre_170;
Genre_171;
Genre_172;
Genre_173;
Genre_174;
Genre_175;
Genre_176;
Genre_177;
Genre_178;
Genre_179;
Genre_180;
Genre_181;
Genre_182;
Genre_183;
Genre_184;
Genre_185;
Genre_186;
Genre_187;
Genre_188;
Genre_189;
Genre_190;
Genre_191;
Go to WebSite;Zur Webseite gehen
Grouping;
h;h
Header file;Header-Datei erstellen
Height;HÃ¶he
Height_Original;
Help;Hilfe
Hint;Hinweis
How many audio streams?;Wieviele Audio-Streams?
How many chapters streams?;Wieviele Kapitel-Streams?
How many text streams?;Wieviele Text-Streams?
How many video streams?;Wieviele Video-Streams?
HTML;HTML
ID;ID
IdentClockStart;
Image;Bild
Image stream(s);Bild-Stream(s)
Image_Codec_List;Bild-Codecs
ImageCount;Anzahl der Bild-Streams
Info;Info
Instruments;Instrumente
Interlaced_BFF;unteres Feld zuerst
Interlaced_Interlaced;Interlaced
Interlaced_PPF;progressiv
Interlaced_Progressive;progressiv
Interlaced_TFF;oberes Feld zuerst
Interlacement;Interlace
Interleave_Duration;Interleave, Dauer
Interleave_Preload;Interleave, Vorlaufsdauer
Interleave_VideoFrames;Interleave, Dauer
Interleaved;
InternetMediaType;
IRCA;IRCA
ISBN;ISBN
ISRC;ISRC
Keywords;SchlÃ¼sselwÃ¶rter
Known codecs;Bekannte Codecs
Known formats;Bekannte Formate
Known parameters;Bekannte Parameter
Label;Vertriebslabel
Language;Sprache
Language_aa;Afar
Language_ab;Abchasisch
Language_ae;Avestisch
Language_af;Afrikaan
Language_ak;Akanisch
Language_am;Amharisch
Language_an;Aragonesisch
Language_ar;Arabisch
Language_as;Assamesisch
Language_av;Avarisch
Language_ay;Aimara
Language_az;Aserbaidschanisch
Language_ba;Baschkirisch
Language_be;WeiÃŸrussisch
Language_bg;Bulgarisch
Language_bh;Biharisch
Language_bi;Bislamisch
Language_bm;Bambara
Language_bn;Bengalisch
Language_bo;Tibetanisch
Language_br;Bretonisch
Language_bs;Bosnisch
Language_ca;Katalanisch
Language_ce;Tschetschenisch
Language_ch;Chamorro
Language_co;Korsisch
Language_cr;Cree
Language_cs;Tschechisch
Language_cu;Altslawisch
Language_cv;Tschuwaschisch
Language_cy;Walisisch
Language_da;DÃ¤nisch
Language_de;Deutsch
Language_dv;Dhivehi
Language_dz;Dzongkha
Language_ee;Ewe
Language_el;Griechisch
Language_en;Englisch
Language_en-gb;Englisch (Great Britain)
Language_en-us;Englisch (United States)
Language_eo;Esperanto
Language_es;Spanisch
Language_et;Estnisch
Language_eu;Baskisch
Language_fa;Persisch
Language_ff;Fulah
Language_fi;Finnisch
Language_fj;Fidschianisch
Language_fo;FÃ¤rÃ¶isch
Language_fr;FranzÃ¶sisch
Language_fy;Friesisch
Language_ga;Irisch
Language_gd;Schottisches GÃ¤lisch
Language_gl;Galicisch
Language_gn;Guarani
Language_gu;Gudscharati
Language_gv;Manx
Language_ha;Hausa
Language_he;HebrÃ¤isch
Language_hi;Hindi
Language_ho;Hiri Motu
Language_hr;Kroatisch
Language_ht;Haitianisch
Language_hu;Ungarisch
Language_hy;Armenisch
Language_hz;Herero
Language_ia;Interlingua
Language_id;Indonesisch
Language_ie;Interlingue
Language_ig;Ibo
Language_ii;Sichuan Yi
Language_ik;Inupiak
Language_Info;Informationen zur Sprache
Language_io;Ido
Language_is;IslÃ¤ndisch
Language_it;Italienisch
Language_iu;Inuktitut
Language_ja;Japanisch
Language_jv;Javanisch
Language_ka;Georgisch
Language_kg;Kongolesisch
Language_ki;Kikuyu
Language_kj;Kuanyama
Language_kk;Kasachisch
Language_kl;GrÃ¶nlÃ¤ndisch
Language_km;Kambodschanisch
Language_kn;Kannada
Language_ko;Koreanisch
Language_kr;Kanuri
Language_ks;Kaschmirisch
Language_ku;Kurdisch
Language_kv;Komi
Language_kw;Kornisch
Language_ky;Kirgisisch
Language_la;Lateinisch
Language_lb;Luxemburgisch
Language_lg;Luganda
Language_li;Limburgisch
Language_ln;Lingala
Language_lo;Laotisch
Language_lt;Litauisch
Language_lu;Luba-Katanga
Language_lv;Lettisch
Language_mg;Madagassisch
Language_mh;Marshallese
Language_mi;Maorisch
Language_mk;Mazedonisch
Language_ml;Malajalam
Language_mn;Mongolisch
Language_mo;Moldauisch
Language_More;Sprache, nÃ¤here Info
Language_mr;Marathi
Language_ms;Malaiisch
Language_mt;Maltesisch
Language_mul;mehrere Sprachen
Language_my;Birmanisch
Language_na;Nauruisch
Language_nb;Norwegisch BokmÃ¥l
Language_nd;Nord-Ndebele
Language_ne;Nepalesisch
Language_ng;Ndongo
Language_nl;NiederlÃ¤ndisch/HollÃ¤ndisch
Language_nn;Norwegisch Nynorsk
Language_no;Norwegisch
Language_nr;SÃ¼d-Ndebele
Language_nv;Navajo
Language_ny;Chichewa
Language_oc;Okzitanisch
Language_oj;Ojibwa
Language_om;Oromo
Language_or;Orija
Language_os;Ossetisch
Language_pa;Pandschabisch/Pundjabisch
Language_pi;Pali
Language_pl;Polnisch
Language_ps;Paschtu/Afghanisch
Language_pt;Portugiesisch
Language_pt-br;Portugiesich (Brasilien)
Language_qu;Quechua/Ketschua
Language_rm;RÃ¤toromanisch
Language_rn;Kirundi (Rundisch)
Language_ro;RumÃ¤nisch
Language_ru;Russisch
Language_rw;Ruandisch/Kijarwanda
Language_sa;Sanskrit
Language_sc;Sardisch
Language_sd;Sindhi/Zinti
Language_se;Nord-Sami
Language_sg;Sango
Language_si;Singhalesisch
Language_sk;Slowakisch
Language_sl;Slowenisch
Language_sm;Samoanisch
Language_sn;Shona
Language_so;Somalisch
Language_sq;Albanisch
Language_sr;Serbisch
Language_ss;Swazi/SwasilÃ¤ndisch
Language_st;Sesothisch/Sotho
Language_su;Sundanesisch
Language_sv;Schwedisch
Language_sw;Suaheli
Language_ta;Tamilisch
Language_te;Telugu/Tegulu
Language_tg;Tadschikisch
Language_th;ThailÃ¤ndisch
Language_ti;Tigrinja
Language_tk;Turkmenisch
Language_tl;Tagalog
Language_tn;Tsuana/Sezuan
Language_to;Tongaisch
Language_tr;TÃ¼rkisch
Language_ts;Tsongaisch
Language_tt;Tatarisch
Language_tw;Twi
Language_ty;Tahitianisch
Language_ug;Uigurisch
Language_uk;Ukrainisch
Language_ur;Urdu
Language_uz;Usbekisch
Language_ve;Venda
Language_vi;Vietnamesisch
Language_vo;VolapÃ¼k
Language_wa;Walonisch
Language_wo;Wolof
Language_xh;Xhosa
Language_yi;Jiddisch
Language_yo;Joruba
Language_za;Zhuang
Language_zh;Chinesisch
Language_zh-cn;Chinesisch (VR China)
Language_zh-tw;Chinesisch (Taiwan
Language_zu;Zulu
LawRating;Altersfreigabe
LCCN;LCCN
Library;Muxing-Bibliothek
Lightness;Helligkeit
LineUpStart;
List;Liste
Lyricist;Liedtexter
Lyrics;Liedtext
Mastered_Date;Mastering-Datum
MasteredBy;Gemastert von
Matrix_Channel(s);
Matrix_ChannelPositions;
matrix_coefficients;
Matrix_Format;
MediaInfo_About;Liefert sehr detaillierte Informationen\r\nÃ¼ber Multimedia-Dateien:\r\nMatroska, OGG (einschlieÃŸlich OGM)\r\nMPEG1 (einschlieÃŸlich VCD)\r\nMPEG2 (einschlieÃŸlich DVD and SVCD)\r\nMPEG4 (einschlieÃŸlich Itunes M4A)\r\nQuicktime\r\nRealMedia\r\nWindowsMedia (einschlieÃŸlich WMV, WMA)\r\nMicrosoft RIFF (einschlieÃŸlich AVI, WAV)\r\nAudio-Formate (AC3, DTS, AAC, AU, AIFF...)
Menu;MenÃ¼
Menu stream(s);MenÃ¼-Streams
Menu_Codec_List;MenÃ¼-Codecs
Menu_Hint;Weitere MÃ¶glichkeiten
Menu_No;Kein MenÃ¼
MenuCount;Anzahl der MenÃ¼-Streams
MenuID;MenÃ¼-ID
mn;min
Mood;Stimmung
More;Mehr
Movie;Filmname
ms;ms
MSDI;MSDI
MusicBy;Musik von
MuxingMode;Muxing-Modus
MuxingMode_MoreInfo;Muxing-Modus, weitere Infos
MuxingMode_PackedBitstream;Packed bitstream
Name;Name
Nationality;NationalitÃ¤t
NetworkName;Netzwerkname
New;Neu
Newest version;Auf neuere Version Ã¼berprÃ¼fen (benÃ¶tigt Internet-Verbindung)
NewVersion_Menu;Eine neue Version ist verfÃ¼gbar
NewVersion_Question_Content;Eine neue Version (v%Version%) ist verfÃ¼gbar, soll sie heruntergeladen werden?
NewVersion_Question_Title;Eine neue Version wurde verÃ¶ffentlicht!
No;Nein
Not yet;Noch nicht
NumColors;Farbanzahl
OK;OK
One output file per input file;Je eine eigene Ausgabedatei pro Eingabedatei
Open;Ã–ffnen
OpenCandy_01;________ wird heruntergeladen.
OpenCandy_02;__% abgeschlossen
OpenCandy_03;Internetverbindung unterbrochen
OpenCandy_04;________ vollstÃ¤ndig heruntergeladen
OpenCandy_05;Hier klicken, um ________ zu installieren
OpenCandy_06;MÃ¶chten Sie die Installation wirklich abbrechen?\r\nWenn Sie die Installation zu einem spÃ¤teren Zeitpunkt vornehmen mÃ¶chten, wÃ¤hlen Sie â€žNeinâ€œ.\r\nHinweis: Sie kÃ¶nnen im MenÃ¼ â€žBeendenâ€œ auswÃ¤hlen, um die Installation bis zum nÃ¤chsten Neustart zu verschieben.
OpenCandy_07;Download von ________ wurde angehalten.\r\nKlicken Sie auf das Tray-Icon, um den Download fortzusetzen.
OpenCandy_08;Es ist ein kritischer Fehler aufgetreten. Installation von _________ wird abgebrochen.
OpenCandy_09;Download anhalten
OpenCandy_10;Installation abbrechen
OpenCandy_11;Download fortsetzen
OpenCandy_12;Installationsprogramm beenden
OpenCandy_13;___________ â€“ Empfohlen von ____________
OpenCandy_14;_________ wird heruntergeladen
OpenCandy_15;___________, die Software, die Ihnen von ___________ empfohlen wurde, wird jetzt auf Ihren Wunsch heruntergeladen. Wir geben Ihnen Bescheid, wenn sie zur Installation bereit ist.
OpenCandy_16;___________ ist zur Installation bereit.
OpenCandy_17;Der Download von ___________ ist jetzt abgeschlossen. Klicken Sie zum Fortfahren bitte auf 'Installieren'.
OpenCandy_18;___________ von ___________ heruntergeladen
OpenCandy_19;Powered by OpenCandy
OpenCandy_20;Weitere Informationen unter OpenCandy.com
OpenCandy_21;Installieren
OpenCandy_22;Installation von ___________
OpenCandy_23;Damit wird die Installation von ___________ abgebrochen.\r\nMÃ¶chten Sie das Programm wirklich beenden?
OpenCandy_24;Anhalten
OpenCandy_25;Ihr Download wurde angehalten.Klicken Sie zum Fortfahren auf 'Fortsetzen'.
OpenCandy_26;Fortsetzen
OpenCandy_27;Jetzt installieren
OpenCandy_28;Download anhalten
OpenCandy_29;Download fortsetzen
OpenCandy_30;Installation abbrechen
OpenCandy_31;WÃ¤hlen Sie bitte eine Installationsoption aus
OpenCandy_32;___________ installieren
OpenCandy_33;Nicht installieren
OpenCandy_34;WÃ¤hlen Sie bitte eine Installationsoption aus
OpenCandy_35;_____ empfiehlt diese software
OpenCandy_36;Ihre aktuelle Installation wird nicht unterbrochen
OpenCaptionsLanguage;
OpenCaptionsPresent;
OpenCaptionsType;
Options;Optionen
Options_Hint;Voreinstellungen
Original;Original
OriginalNetworkName;Originaler Netzwerkname
OriginalSourceForm;Originale Source-Form
OriginalSourceMedium;Originales Source-Medium
Originator;
Other;Andere
OtherIdentifier;
OtherIdentifierType;
Output;Ausgabe
Output format;Ausgabeformat
OverallBitRate;Gesamte Bitrate
OverallBitRate_Maximum;maximale Gesamtbitrate
OverallBitRate_Minimum;minimale Gesamtbitrate
OverallBitRate_Mode;Modus der Gesamtbitrate
OverallBitRate_Nominal;nominale Gesamtbitrate
Part;Teil
Part_Count;Gesamtanzahl
PartNumber;
PartTotal;
Performer;KÃ¼nstler
Period;Zeitalter
Phone;Telefon
PictureRatio;
PixelAspectRatio;PixelverhÃ¤ltnis
PixelAspectRatio_Original;PixelverhÃ¤ltnis
