  Language_ISO639;bg
 KiloBit1;КилоБит1
 KiloBit2;КилоБит2
 KiloBit3;КилоБит3
 KiloByte1;КилоБайт1
 KiloByte2;КилоБайт1
 KiloByte3;КилоБайт1
 MB;МБ
 Mb;Мб
 Mbps;Мб/сек
 MBps;МБ/сек
 MebiBit1;МебиБит1
 MebiBit2;МебиБит2
 MebiBit3;МебиБит3
 MebiByte1;МебиБайт1
 MebiByte2;МебиБайт2
 MebiByte3;МебиБайт3
 MegaBit1;МегаБит1
 MegaBit2;МегаБит2
 MegaBit3;МегаБит3
 MegaByte1;МегаБайт1
 MegaByte2;МегаБайт2
 MegaByte3;МегаБайт3
 MHz;МХц
 MiB;МиБ
 Mib;Миб
 MiBps;МиБ/сек
 millisecond1;милисекунда1
 millisecond2;милисекунда2
 millisecond3;милисекунда3
 minute1;минута1
 minute2;минута2
 minute3;минута3
 month1;месец1
 month2;месец2
 month3;месец3
 pixel1;пиксел1
 pixel2;пиксел2
 pixel3;пиксел3
 second1;секунда1
 second2;секунда2
 second3;секунда3
 text stream1;текстови поток1
 text stream2;текстови поток2
 text stream3;текстови поток3
 video frames1;видео кадър1
 video frames2;видео кадър2
 video frames3;видео кадър3
 video stream1;видео поток1
 video stream2;видео поток2
 video stream3;видео поток3
 warppoint0;точка на изхвърляне0
 warppoint1;точка на изхвърляне1
 warppoint2;точка на изхвърляне2
 warppoint3;точка на изхвърляне3
 week1;седмица1
 week2;седмица2
 week3;седмица3
 year1;година1
 year2;година2
 year3;година3
, ;,
: ;:
3D;
3DType;
About;За
About_Hint;За_Подсказване
Accompaniment;Съпровод
ActiveFormatDescription;
ActiveFormatDescription_MuxingMode;
Actor;Актьор
Actor_Character;Актьор_Характер
Added_Date;Дата_Прибавен
Address;Адрес
Advanced;Разширен
Advanced mode;Разширен режим
Album;Албум
Album_ReplayGain_Gain;Албум_УсилващоПовторение_Усилване
Album_ReplayGain_Peak;Албум_УсилващоПовторение_Връх
Alignment;Подравняване
Alignment_Aligned;Подравняване_Подравнен
Alignment_Split;Подравняване_Разделен
All;Всичко
Archival_Location;Архивна_Локация
Arranger;Подреждане
ArtDirector;ХудожественДиректор
AspectRatio;Съотношение
AssistantDirector;АсистентДиректор
at;от
At least one file;Най-малко един файл
Audio;Аудио
Audio stream(s);Аудио поток(ци)
Audio_Codec_List;Аудио_Кодек_Списък
Audio_No;Аудио_№
Audio1;Аудио1
Audio2;Аудио2
AudioComments;
AudioCount;АудиоБрой
AudioDescriptionPresent;
AudioDescriptionType;
AudioLoudnessStandard;
AudioTrackLayout;
Author;Автор
BarCode;Баркод
Basic;Основен
Basic_Note;Основен_Забележка
BitDepth;БитДълбочина
BitDepth_Stored;
BitRate;БитРейт
BitRate_Encoded;
BitRate_Maximum;Максимален_БитРейт
BitRate_Minimum;Минимален_БитРейт
BitRate_Mode;Режим_БитРейт
BitRate_Mode_CBR;Режим_БитРейт_СБР
BitRate_Mode_VBR;Режим_БитРейт_ВБР
BitRate_Nominal;Нормален_БитРейт
Bits-(Pixel*Frame);Битове-(Пиксел*Кадър)
BufferSize;
Cancel;Откажи
Channel(s);Канал(и)
ChannelPositions;КаналПозиции
Chapter(s);Дял(ове)
Chapters;Дялове
Chapters stream(s);Дялове поток(ци)
Chapters_Codec_List;Дялове_Кодек_Списък
Chapters_No;Дялове_Но
ChaptersCount;ДяловеБрой
CheckNewVersion;ПровериНоваВерсия
Choose custom;Избери потребителски
Choose custom sheet;Избери потребителски формуляр
Choose custom text;Избери потребителски текст
Choose export format;Избери формат за експортиране
Choose file(s);Избери файл(ове)
Choose filename;Избери име на файл
Choose language;Избери език
Choregrapher;Хореограф
Chroma;Хрома
ChromaSubsampling;ХромаПодСамплинг
Close;Затвори
Close all before open;Затвори всичко преди да отвориш
ClosedCaptionsLanguage;
ClosedCaptionsPresent;
ClosedCaptionsType;
Codec;Кодек
Codec_Description;Кодек_Описание
Codec_Info;Кодек_Инфо
Codec_Profile;Кодек_Профил
Codec_Settings;Кодек_Настройки
Codec_Settings_BVOP;Кодек_Настройки_БВОП
Codec_Settings_CABAC;Кодек_Настройки_КАБАК
Codec_Settings_Endianness;Кодек_Настройки_Безкрайност
Codec_Settings_Firm;Кодек_Настройки_Фирм
Codec_Settings_Floor;Кодек_Настройки_Под
Codec_Settings_GMC;Кодек_Настройки_ГМС
Codec_Settings_ITU;Кодек_Настройки_ИТУ
Codec_Settings_Law;Кодек_Настройки_Закон
Codec_Settings_Matrix;Кодек_Настройки_Матрица
Codec_Settings_PacketBitStream;Кодек_Настройки_ПакетБитПоток
Codec_Settings_QPel;Кодек_Настройки_КюПел
Codec_Settings_Sign;Кодек_Настройки_Подпис
Codec_Url;Кодек_ЮРЛ
CodecID;КодекИД
CodecID_Description;КодекИД_Описание
Collection;Колекция
Colorimetry;ЦветоваГама
ColorSpace;ЦветовоПронстранство
colour_primaries;цветови_основи
Comment;Коментар
CommissionedBy;ПоръчанОт
Compilation;
CompleteName;ЦялосноИме
CompletionDate;
Composer;Композитор
Compression_Mode;
Compression_Mode_Lossless;
Compression_Mode_Lossy;
Compression_Ratio;КомпресияСъотношение
Conductor;Диригент
ContactEmail;
ContactTelephoneNumber;
Container and general information;Контейнер и главна информация
ContentType;КонтейнерТип
CoProducer;Ко-Продуцент
Copyright;ЗапазенаМарка
CopyrightYear;
CostumeDesigner;Дизайнер
Count;Брой
Country;Държава
Cover;Калъфка
Cover_Datas;Калъфка_Дати
Cover_Description;Калъфка_Описание
Cover_Mime;Калъфка_Майм
Cover_Type;Калъфка_Тип
Cropped;Умалена
Custom;Потребителски
Customize;Нагласи
Date;Дата
Debug;Дебъг
Decimal point;Децимална точка
Delay;Забавяне
Delay_Source;
Delay_Source_Container;
Delay_Source_Stream;
Delete;Премахни
Description;Описание
Digitized_Date;Дата_Дигитализиране
Dimensions;Размери
Director;Режисьор
DirectorOfPhotography;Фотограф
DisplayAspectRatio;СъотношениеОбраз
DisplayAspectRatio_Original;Оригинално_СъотношениеОбраз
DistributedBy;РазпространенОт
Distributor;
Donate;Дари
DotsPerInch;ДотНаИнч
Duration;Продължителност
Duration_End;Продължителност_Край
Duration_Start;Продължителност_Начало
Edit;Преработи
EditedBy;ПреработенОт
EMail;Имейл
Encoded_Application;Енкодирана_Апликация
Encoded_Date;Дата_Енкодиране
Encoded_Library;Библиотека_Енкодиране
Encoded_Library_Settings;Библиотека_Енкодиране_Настройки
Encoded_Original;Оригинално_Енкодиране
EncodedBy;ЕнкодиранОт
EPG_Positions;ЕПГ_Позиции
EpisodeTitleNumber;
Error_File;ФайлЗа_Грешки
ExecutiveProducer;ГлавенПродуцент
Exit;Излез
Exit_Hint;Излизане_Подсказване
Export;Експортиране
Export_Hint;Експортиране_Подсказване
Extensions;Екстенции
Family;Семеен
Fax;Факс
File;Файл
File size;Големина файл
File_Append;ФайлДобавка
File_Created_Date;ФайлДатаСъздаване
File_Created_Date_Local;ФайлДатаСъздаванеЛокално
File_Hint;Файл_Подсказване
File_Modified_Date;ФайлДатаПромяна
File_Modified_Date_Local;ФайлДатаПромянаЛокално
FileExtension;ФайлЕкстенция
FileName;ИмеФайл
FileSize;Големинафайл
Folder;Папка
Folder (R);Папка (Ч)
Folder (R)_Hint;Папка (Ч)_Подсказване
Folder (Recursively);Папка (Рекурсивна)
Folder_Hint;Папка_Подсказване
FolderName;ПапкаИме
Format;Формат
Format_Commercial;
Format_Commercial_IfAny;
Format_Description;Формат_Описание
Format_Info;Формат_Инфо
Format_Profile;Формат_Профил
Format_Settings;Формат_Настройки
Format_Settings_BVOP;Формат_Настройки_БВОП
Format_Settings_CABAC;Формат_Настройки_Кабак
Format_Settings_Emphasis;Формат_Настройки_Подчертаност
Format_Settings_Endianness;Формат_Настройки_Безкрайност
Format_Settings_Firm;Формат_Настройки_Фирм
Format_Settings_Floor;Формат_Настройки_Под
Format_Settings_FrameMode;Формат_Настройки_КадриМетод
Format_Settings_GMC;Формат_Настройки_ГМС
Format_Settings_GOP;Формат_Настройки_ГОП
Format_Settings_ITU;Формат_Настройки_ИТУ
Format_Settings_Law;Формат_Настройки_Закон
Format_Settings_Matrix;Формат_Настройки_Матрица
Format_Settings_Matrix_Custom;Формат_Настройки_Матрица_Потребител
Format_Settings_Matrix_Default;Формат_Настройки_Матрица_Стандарт
Format_Settings_Mode;Формат_Настройки_Метод
Format_Settings_ModeExtension;Формат_Настройки_МетодЕкстенция
Format_Settings_PacketBitStream;Формат_Настройки_ПакетБитПоток
Format_Settings_PictureStructure;
Format_Settings_PS;Формат_Настройки_ПС
Format_Settings_Pulldown;Формат_Настройки_СвалящоМеню
Format_Settings_QPel;Формат_Настройки_КюПел
Format_Settings_RefFrames;Формат_Настройки_РефКадри
Format_Settings_SBR;Формат_Настройки_СБР
Format_Settings_Sign;Формат_Настройки_Подпис
Format_Settings_Wrapping;
Format_Url;Формат_ЮРЛ
Format_Version;Формат_Версия
FpaManufacturer;
FpaPass;
FpaVersion;
FrameCount;БройКадри
FrameRate;СкоростКадри
FrameRate_Maximum;СкоростКадри_Максимум
FrameRate_Minimum;СкоростКадри_Минимум
FrameRate_Mode;СкоростКадри_Метод
FrameRate_Mode_CFR;СкоростКадри_СФР
FrameRate_Mode_VFR;СкоростКадри_ВФР
FrameRate_Nominal;СкоростКадри_Нормално
FrameRate_Original;СкоростКадри_Оригинално
General;Генерално
Genre;Жанр
Genre_000;
Genre_001; Жанр_001
Genre_002; Жанр_002
Genre_003; Жанр_003
Genre_004; Жанр_004
Genre_005; Жанр_005
Genre_006; Жанр_006
Genre_007; Жанр_007
Genre_008; Жанр_008
Genre_009; Жанр_009
Genre_010; Жанр_010
Genre_011; Жанр_011
Genre_012; Жанр_012
Genre_013; Жанр_013
Genre_014; Жанр_014
Genre_015; Жанр_015
Genre_016; Жанр_016
Genre_017; Жанр_017
Genre_018; Жанр_018
Genre_019; Жанр_019
Genre_020; Жанр_020
Genre_021; Жанр_021
Genre_022; Жанр_022
Genre_023; Жанр_023
Genre_024; Жанр_024
Genre_025; Жанр_025
Genre_026; Жанр_026
Genre_027; Жанр_027
Genre_028; Жанр_028
Genre_029; Жанр_029
Genre_030; Жанр_030
Genre_031; Жанр_031
Genre_032; Жанр_032
Genre_033; Жанр_033
Genre_034; Жанр_034
Genre_035; Жанр_035
Genre_036; Жанр_036
Genre_037; Жанр_037
Genre_038; Жанр_038
Genre_039; Жанр_039
Genre_040; Жанр_040
Genre_041; Жанр_041
Genre_042; Жанр_042
Genre_043; Жанр_043
Genre_044; Жанр_044
Genre_045; Жанр_045
Genre_046; Жанр_046
Genre_047; Жанр_047
Genre_048; Жанр_048
Genre_049; Жанр_049
Genre_050; Жанр_050
Genre_051; Жанр_051
Genre_052; Жанр_052
Genre_053; Жанр_053
Genre_054; Жанр_054
Genre_055; Жанр_055
Genre_056; Жанр_056
Genre_057; Жанр_057
Genre_058; Жанр_058
Genre_059; Жанр_059
Genre_060; Жанр_060
Genre_061; Жанр_061
Genre_062; Жанр_062
Genre_063; Жанр_063
Genre_064; Жанр_064
Genre_065; Жанр_065
Genre_066; Жанр_066
Genre_067; Жанр_067
Genre_068; Жанр_068
Genre_069; Жанр_069
Genre_070; Жанр_070
Genre_071; Жанр_071
Genre_072; Жанр_072
Genre_073; Жанр_073
Genre_074; Жанр_074
Genre_075; Жанр_075
Genre_076; Жанр_076
Genre_077; Жанр_077
Genre_078; Жанр_078
Genre_079; Жанр_079
Genre_080; Жанр_080
Genre_081; Жанр_081
Genre_082; Жанр_082
Genre_083; Жанр_083
Genre_084; Жанр_084
Genre_085; Жанр_085
Genre_086; Жанр_086
Genre_087; Жанр_087
Genre_088; Жанр_088
Genre_089; Жанр_089
Genre_090; Жанр_090
Genre_091; Жанр_091
Genre_092; Жанр_092
Genre_093; Жанр_093
Genre_094; Жанр_094
Genre_095; Жанр_095
Genre_096; Жанр_096
Genre_097; Жанр_097
Genre_098; Жанр_098
Genre_099; Жанр_099
Genre_100; Жанр_100
Genre_101; Жанр_101
Genre_102; Жанр_102
Genre_103; Жанр_103
Genre_104; Жанр_104
Genre_105; Жанр_105
Genre_106; Жанр_106
Genre_107; Жанр_107
Genre_108; Жанр_108
Genre_109; Жанр_109
Genre_110; Жанр_110
Genre_111; Жанр_111
Genre_112; Жанр_112
Genre_113; Жанр_113
Genre_114; Жанр_114
Genre_115; Жанр_115
Genre_116; Жанр_116
Genre_117; Жанр_117
Genre_118; Жанр_118
Genre_119; Жанр_119
Genre_120; Жанр_120
Genre_121; Жанр_121
Genre_122; Жанр_122
Genre_123; Жанр_123
Genre_124; Жанр_124
Genre_125; Жанр_125
Genre_126; Жанр_126
Genre_127; Жанр_127
Genre_128; Жанр_128
Genre_129; Жанр_129
Genre_130; Жанр_130
Genre_131; Жанр_131
Genre_132; Жанр_132
Genre_133; Жанр_133
Genre_134; Жанр_134
Genre_135; Жанр_135
Genre_136; Жанр_136
Genre_137; Жанр_137
Genre_138; Жанр_138
Genre_139; Жанр_139
Genre_140; Жанр_140
Genre_141; Жанр_141
Genre_142; Жанр_142
Genre_143; Жанр_143
Genre_144; Жанр_144
Genre_145; Жанр_145
Genre_146; Жанр_146
Genre_147; Жанр_147
Genre_148;
Genre_149;
Genre_150;
Genre_151;
Genre_152;
Genre_153;
Genre_154;
Genre_155;
Genre_156;
Genre_157;
Genre_158;
Genre_159;
Genre_160;
Genre_161;
Genre_162;
Genre_163;
Genre_164;
Genre_165;
Genre_166;
Genre_167;
Genre_168;
Genre_169;
Genre_170;
Genre_171;
Genre_172;
Genre_173;
Genre_174;
Genre_175;
Genre_176;
Genre_177;
Genre_178;
Genre_179;
Genre_180;
Genre_181;
Genre_182;
Genre_183;
Genre_184;
Genre_185;
Genre_186;
Genre_187;
Genre_188;
Genre_189;
Genre_190;
Genre_191;
Go to WebSite;Към Уебсайта
Grouping;
h;х
Header file;Хедър файл
Height;Височина
Height_Original;Оригинална_Височина
Help;Помощ
Hint;Подсказване
How many audio streams?;Колко аудио потоци?
How many chapters streams?;Колко глави потоци?
How many text streams?;Колко текстови потоци?
How many video streams?;Колко видео потоци?
HTML;HTML
ID;ИД
IdentClockStart;
Image;Изображение
Image stream(s);Изображение Поток(ци)
Image_Codec_List;Изображение_Кодек_Списък
ImageCount;ИзображениеБрой
Info;Инфо
Instruments;Инструменти
Interlaced_BFF;Сплетен_ВФФ
Interlaced_Interlaced;Сплетен_Сплетен
Interlaced_PPF;Сплетен_ППФ
Interlaced_Progressive;Сплетен_Прогресивен
Interlaced_TFF;Сплетен_ТФФ
Interlacement;Сплитане
Interleave_Duration;Разнообразен_Продължителност
Interleave_Preload;Разнообразен_Презареден
Interleave_VideoFrames;Разнообразен_ВидеоКадри
Interleaved;
InternetMediaType;
IRCA;ИРСА
ISBN;ИСБН
ISRC;ИСРК
Keywords;Тагове
Known codecs;Познати кодеци
Known formats;Познати Формати
Known parameters;Познати Параметри
Label;Етикет
Language;Език
Language_aa;Език_аа
Language_ab;Език_аб
Language_ae;Език_ае
Language_af;Език_аф
Language_ak;Език_ак
Language_am;Език_ам
Language_an;Език_ан
Language_ar;Език_ан
Language_as;Език_ас
Language_av;Език_ав
Language_ay;Език_ай
Language_az;Език_аз
Language_ba;Език_ба
Language_be;Език_бе
Language_bg;Език_бг
Language_bh;Език_бх
Language_bi;Език_би
Language_bm;Език_бм
Language_bn;Език_бн
Language_bo;Език_бо
Language_br;Език_бр
Language_bs;Език_бс
Language_ca;Език_ка
Language_ce;Език_ке
Language_ch;Език_чи
Language_co;Език_ко
Language_cr;Език_кр
Language_cs;Език_че
Language_cu;Език_ку
Language_cv;Език_кв
Language_cy;Език_ки
Language_da;Език_да
Language_de;Език_де
Language_dv;Език_дв
Language_dz;Език_дз
Language_ee;Език_ее
Language_el;Език_ел
Language_en;Език_ен
Language_en-gb;Език_ен–гб
Language_en-us;Език_ен-юс
Language_eo;Език_ео
Language_es;Език_ес
Language_et;Език_ет
Language_eu;Език_еу
Language_fa;Език_фа
Language_ff;Език_фф
Language_fi;Език_фи
Language_fj;Език_фй
Language_fo;Език_фо
Language_fr;Език_фр
Language_fy;Език_фе
Language_ga;Език_га
Language_gd;Език_гд
Language_gl;Език_гл
Language_gn;Език_гн
Language_gu;Език_гу
Language_gv;Език_гв
Language_ha;Език_ха
Language_he;Език_хе
Language_hi;Език_хи
Language_ho;Език_хо
Language_hr;Език_хр
Language_ht;Език_хт
Language_hu;Език_ху
Language_hy;Език_хй
Language_hz;Език_хз
Language_ia;Език_иа
Language_id;Език_ид
Language_ie;Език_ие
Language_ig;Език_иг
Language_ii;Език_ии
Language_ik;Език_ик
Language_Info;Език_Инфо
Language_io;Език_ио
Language_is;Език_ис
Language_it;Език_ит
Language_iu;Език_иу
Language_ja;Език_яа
Language_jv;Език_яв
Language_ka;Език_ка
Language_kg;Език_кг
Language_ki;Език_ки
Language_kj;Език_кя
Language_kk;Език_кк
Language_kl;Език_кл
Language_km;Език_км
Language_kn;Език_кн
Language_ko;Език_ко
Language_kr;Език_кр
Language_ks;Език_кс
Language_ku;Език_ку
Language_kv;Език_кв
Language_kw;Език_кю
Language_ky;Език_кя
Language_la;Език_ла
Language_lb;Език_лб
Language_lg;Език_лг
Language_li;Език_ли
Language_ln;Език_лн
Language_lo;Език_ло
Language_lt;Език_лт
Language_lu;Език_лу
Language_lv;Език_лв
Language_mg;Език_мг
Language_mh;Език_мх
Language_mi;Език_ми
Language_mk;Език_мк
Language_ml;Език_мл
Language_mn;Език_мн
Language_mo;Език_мо
Language_More;Език_Повече
Language_mr;Език_мр
Language_ms;Език_мс
Language_mt;Език_мт
Language_mul;Език_мул
Language_my;Език_мя
Language_na;Език_на
Language_nb;Език_нб
Language_nd;Език_нд
Language_ne;Език_не
Language_ng;Език_нг
Language_nl;Език_нл
Language_nn;Език_нн
Language_no;Език_но
Language_nr;Език_нр
Language_nv;Език_нв
Language_ny;Език_ня
Language_oc;Език_ос
Language_oj;Език_ой
Language_om;Език_ом
Language_or;Език_ор
Language_os;Език_ос
Language_pa;Език_па
Language_pi;Език_пи
Language_pl;Език_пл
Language_ps;Език_пс
Language_pt;Език_пт
Language_pt-br;Език_пт-бр
Language_qu;Език_ку
Language_rm;Език_рм
Language_rn;Език_рн
Language_ro;Език_ро
Language_ru;Език_ру
Language_rw;Език_рв
Language_sa;Език_са
Language_sc;Език_сц
Language_sd;Език_сд
Language_se;Език_се
Language_sg;Език_сг
Language_si;Език_си
Language_sk;Език_ск
Language_sl;Език_сл
Language_sm;Език_см
Language_sn;Език_сн
Language_so;Език_со
Language_sq;Език_ся
Language_sr;Език_ср
Language_ss;Език_сс
Language_st;Език_ст
Language_su;Език_су
Language_sv;
Language_sw;
Language_ta;
Language_te;
Language_tg;
Language_th;
Language_ti;
Language_tk;
Language_tl;
Language_tn;
Language_to;
Language_tr;
Language_ts;
Language_tt;
Language_tw;
Language_ty;
Language_ug;
Language_uk;
Language_ur;
Language_uz;
Language_ve;
Language_vi;
Language_vo;
Language_wa;
Language_wo;
Language_xh;
Language_yi;
Language_yo;
Language_za;
Language_zh;
Language_zh-cn;
Language_zh-tw;
Language_zu;
LawRating;НисъкРейтинг
LCCN;ЛССН
Library;Библиотека
Lightness;Осветеност
LineUpStart;
List;Списък
Lyricist;Поет
Lyrics;Текстове
Mastered_Date;Дата изработка
MasteredBy;ИзработкаОт
Matrix_Channel(s);
Matrix_ChannelPositions;
matrix_coefficients;мартица_коефициент
Matrix_Format;
MediaInfo_About;Медиа Инфо_За
Menu;Меню
Menu stream(s);Меню поток(ци)
Menu_Codec_List;Меню_Кодек_Списък
Menu_Hint;Меню_Подсказване
Menu_No;Меню_Но
MenuCount;МенюБрой
MenuID;МенюИД
mn;мн
Mood;Настроение
More;Повече
Movie;Филм
ms;мс
MSDI;МСДИ
MusicBy;МузикаОт
MuxingMode;МюксингРежим
MuxingMode_MoreInfo;МюксингРежим_ПовечеИнфо
MuxingMode_PackedBitstream;МюксингРежим_ПакетБитПоток
Name;Име
Nationality;Националност
NetworkName;МрежаИме
New;Нов
Newest version;Най-новата версия
NewVersion_Menu;НоваВерсия_Меню
NewVersion_Question_Content;НоваВерсия_Въпрос_Съдържание
NewVersion_Question_Title;НоваВерсия_Въпрос_Име
No;Не
Not yet;Още не
NumColors;НомерЦветове
OK;Да
One output file per input file;Един изходящ при един входящ файл
Open;Отвори
OpenCandy_01;ОпенКанди_01
OpenCandy_02;ОпенКанди_02
OpenCandy_03;ОпенКанди_03
OpenCandy_04;ОпенКанди_04
OpenCandy_05;ОпенКанди_05
OpenCandy_06;ОпенКанди_06
OpenCandy_07;ОпенКанди_07
OpenCandy_08;ОпенКанди_08
OpenCandy_09;ОпенКанди_09
OpenCandy_10;ОпенКанди_10
OpenCandy_11;ОпенКанди_11
OpenCandy_12;ОпенКанди_12
OpenCandy_13;ОпенКанди_13
OpenCandy_14;ОпенКанди_14
OpenCandy_15;ОпенКанди_15
OpenCandy_16;ОпенКанди_16
OpenCandy_17;ОпенКанди_17
OpenCandy_18;ОпенКанди_18
OpenCandy_19;ОпенКанди_19
OpenCandy_20;ОпенКанди_20
OpenCandy_21;ОпенКанди_21
OpenCandy_22;ОпенКанди_22
OpenCandy_23;ОпенКанди_23
OpenCandy_24;ОпенКанди_24
OpenCandy_25;ОпенКанди_25
OpenCandy_26;ОпенКанди_26
OpenCandy_27;ОпенКанди_27
OpenCandy_28;ОпенКанди_28
OpenCandy_29;ОпенКанди_29
OpenCandy_30;ОпенКанди_30
OpenCandy_31;ОпенКанди_31
OpenCandy_32;ОпенКанди_32
OpenCandy_33;ОпенКанди_33
OpenCandy_34;ОпенКанди_34
OpenCandy_35;ОпенКанди_35
OpenCandy_36;ОпенКанди_36
OpenCaptionsLanguage;
OpenCaptionsPresent;
OpenCaptionsType;
Options;Опций
Options_Hint;Опций_Подсказване
Original;Оригинал
OriginalNetworkName;ОригиналноМрежаИме
OriginalSourceForm;ОригиналенИзточникФормуляр
OriginalSourceMedium;ОригиналенИзточникНосител
Originator;
Other;Други
OtherIdentifier;
OtherIdentifierType;
Output;Изходящ
Output format;Изходящ Формат
OverallBitRate;ОбщаБитСкорост
OverallBitRate_Maximum;ОбщаБитСкорост_Максимум
OverallBitRate_Minimum;ОбщаБитСкорост_Минимум
OverallBitRate_Mode;ОбщаБитСкорост_Режим
OverallBitRate_Nominal;ОбщаБитСкорост_Номинал
Part;Част
Part_Count;Част_Брой
PartNumber;
PartTotal;
Performer;Изпълнител
Period;Период
Phone;Телефон
PictureRatio;
PixelAspectRatio;ПикселСъотношение
PixelAspectRatio_Original;ПикселСъотношение_Оргинал
PlayCounter;ИзпълнителенБрояч
Played_Count;Изпълнени_Брой
Played_First_Date;Изпълнени_Първа_Дата
Played_Last_Date;Изпълнени_Последна_Дата
PlayTime;ВремеИзпълнение
Position;Позиция
Position_Total;Позиция_Обща
Preferences;Настройки
PrimaryAudioLanguage;
Producer;Продуцент
ProductionDesigner;ДизайнерПродукция
ProductionNumber;
ProductionStudio;ПродукционноСтудио
ProductPlacement;
ProgrammeHasText;
ProgrammeTextLanguage;
ProgrammeTitle;
Publisher;Издател
Purchased_Date;ДатаПоръчан
Quote character;Цитат характер
RadioStation;РадиоСтанция
Rating;Рейтинг
Recorded_Date;Запис_Дата
Recorded_Location;Запис_Локация
Released_Date;Издаден_Дата
RemixedBy;РемиксОт
ReplayGain_Gain;УсилващоПовторение_Усилване
ReplayGain_Peak;УсилващоПовторение_Усилване_Връх
Resolution;Резолюция
s;с
SamplingCount;
SamplingRate;ВъзпроизвежданеСкорост
Save;Запази
ScanOrder;СканиранеРед
ScanOrder_Original;
ScanOrder_Stored;
ScanOrder_StoredDisplayedInverted;
ScanOrder_StoreMethod;
ScanType;СканиранеТип
ScanType_Original;
ScanType_StoreMethod;
ScreenplayBy;СценарийОт
Season;Сезон
SecondaryAudioLanguage;
see below;виж долу
Send HeaderFile;Изпрати Хедер Файл
Separator_Columns;Разделител_Колони
Separator_Lines;Разделител_Линий
SerieTitle;
ServiceChannel;СървисКанал
ServiceName;СървисИме
ServiceProvider;СървисДоставчик
ServiceType;СървисТип
Set;Нагласи
Set_Count;Нагласа_Брой
Setup;Настрой
Sharpness;Яснота
Sheet;Формуляр
Sheet (Complete);Формуляр (Цялостен)
Shell extension;Шел екстенция
Shell extension, folder;Шел екстенция, папка
Shell InfoTip;Шел ИнфоИнфо
ShimName;
Show menu;Показ меню
Show toolbar;Показ инструментибар
SigningPresent;
SignLanguage;
Sort;Сортиране
SoundEngineer;ЗвукоИнжинер
Source;
Source_Duration;
Source_FrameCount;
Source_SamplingCount;
Source_StreamSize;
Source_StreamSize_Encoded;
Standard;Стандарт
StoreMethod_InterleavedFields;
StoreMethod_SeparatedFields;
StoreMethod_SeparatedFields_1;
StoreMethod_SeparatedFields_2;
Stream;Поток
Stream_MoreInfo;Поток_ПовечеИнфо
StreamCount;Поток_Брой
StreamID;ПотокИД
StreamKind;ПотокВид
StreamKindID;ПотокВидИД
StreamKindPos;ПотокВидПоз
StreamSize;ПотокРазмер
StreamSize_Encoded;
StreamSize_Proportion;ПотокРазмер_Пропорций
Subject;Относно
SubTrack;СубТрак
Summary;Обобщение
Supported formats;Поддържани формати
Supported?;Поддържан?
Synopsis;Резюме
SystemId;СистемИД
Tagged_Application;Етикет_Апликация
Tagged_Date;Етикет_Дата
Technician;Техник
TermsOfUse;УсловияНаПолзване
TertiaryAudioLanguage;
Text;Текст
Text - Custom;Текст - Потребителски
Text (HTML);Текст (HTML)
Text stream(s);Текст поток(ци)
Text streams;Текст потоци
Text_Codec_List;Текст_Кодек_Списък
Text_No;Текст_Но
Text1;Текст1
Text2;Текст2
Text3;Текст3
TextCount;ТекстБрой
TextlessElementsExist;
