Language_ISO639;tr
AudioSceneInfoID;Ses Sahnesi Bilgi Kimliği
AudioTrackLayout;Ses İzi Düzeni
Author;Hazırlayan
Back4ToBack2;Arka4'ten Arka2'ye
Balance_FrontBackListener;Dinleyici Ön-Arka Dengesi
Balance_FrontBackOverheadFloor;Ön-Arka-Yer Dengesi
BarCode;BarKod
Basic;Temel
Basic_Note;Not : Bu dosya hakkında daha fazla bilgi için farklı görünüm seçmek zorundasınız (Sayfa, Ağaç...)
BedChannelConfiguration;Yatak kanalı yapılandırması
BedChannelCount;Yatak kanalı sayısı
BinauralRenderMode;Binaural İşleme Kipi
BitDepth;Bit derinliği
BitDepth_Detected;Algılanan bit derinliği
BitDepth_Stored;Saklanan bit derinliği
BitRate;Bit oranı
BitRate_Encoded;Kodlanmış bit oranı
BitRate_Maximum;En fazla bit oranı
BitRate_Minimum;En az bit oranı
BitRate_Mode;Bit oranı kipi
BitRate_Mode_CBR;Sabit
BitRate_Mode_VBR;Değişken
BitRate_Nominal;Düşük bit oranı
Bits-(Pixel*Frame);Bit/(Piksel*Kare)
BitstreamLevel;Bit Akışı Seviyesi
Bring All to Front;Tümünü En Öne Getir
bsid;bsid
BufferSize;Arabellek boyutu
Cancel;İptal
CaptionServiceName;Altyazı Hizmet Adı
CatalogNumber;Katalog Numarası
Channel(s);Kanal
Channel(s)_Original;Orijinal Kanal(lar)
ChannelCoded;Kodlanmış Kanal
ChannelConfiguration;Kanal Yapılandırması
ChannelFormat;Kanal Biçimi
ChannelLayout;Kanal düzeni
ChannelLayout_Original;Orijinal Kanal Düzeni
ChannelMode;Kanal Kipi
ChannelPositions;Kanal konumları
ChannelPositions_Original;Orijinal Kanal Konumları
Chapter(s);Bölüm
Chapters stream(s);Bölüm akışı
Chapters;Bölüm
Chapters_Codec_List;Bölüm Kodekleri
Chapters_No;Bölüm yok
Chapters_Pos_Begin;Bölüm Başlangıç Konumu
Chapters_Pos_End;Bölüm Bitiş Konumu
ChaptersCount;Bölüm sayısı
CharacterSet;Karakter Kümesi
CheckNewVersion;Yeni sürümü denetle
Choose custom sheet;İstediğiniz özel sayfayı seçin
Choose custom text;İstediğiniz özel metni seçin
Choose custom;Özel seçin
Choose export format;İstediğiniz dışarı aktarma biçimini seçin
Choose file(s);Açmak için dosya seçin
Choose filename;İstediğiniz dosya adını seçin
Choose language;İstediğiniz dili seçin
Choreographer;Koreograf
Chroma;Krom
ChromaSubsampling;Krom altörnekleme
Classifier;Sınıflandırıcı
ClearList;Listeyi Temizle
Close all before open;Açmadan önce tümünü kapat
Close;Kapat
CloseAll;Tümünü Kapat
ClosedCaptionsLanguage;Kapalı Açıklamalı Alt Yazı Dili
ClosedCaptionsPresent;Kapalı Açıklamalı Alt Yazı Sunumu
ClosedCaptionsType;Kapalı Açıklamalı Alt Yazı Türü
CloseFile;Dosyayı Kapat
CloseWindow;Pencereyi Kapat
cmixlev;cmixlev
Codec;Kodek
Codec_Description;Kodek açıklaması
Codec_Info;Kodek ayrıntıları
Codec_Profile;Kodek profili
Codec_Settings;Kodek ayarları
Codec_Settings_BVOP;Kodek ayarları, BVOP
Codec_Settings_CABAC;Kodek ayarları, CABAC
Codec_Settings_Endianness;Kodek ayarları, Endianness
Codec_Settings_Firm;Kodek ayarları, Firm
Codec_Settings_Floor;Kodek ayarları, Floor
Codec_Settings_GMC;Kodek ayarları, GMC
Codec_Settings_ITU;Kodek ayarları, ITU
Codec_Settings_Law;Kodek ayarları, Law
Codec_Settings_Matrix;Kodek ayarları, Matrix
Codec_Settings_PacketBitStream;Kodek ayarları, Paket bit akışı
Codec_Settings_QPel;Kodek ayarları, QPel
Codec_Settings_Sign;Kodek ayarları, Sign
Codec_Url;Kodek için web bağlantısı
CodecConfigurationBox;Kodek yapılandırma kutusu
CodecID;Kodek Kimliği
CodecID_Description;Kodek açıklaması
CoDirector;Yardımcı Yönetmen
Collection;Koleksiyon
Colorimetry;Renkölçüm
ColorSpace;Renk alanı
ColorTheme;Renk Teması
ColorTheme_Dark;Karanlık Tema
ColorTheme_Light;Aydınlık Tema
ColorTheme_System;Sistem Teması
colour_description_present;Renk Açıklaması Mevcut
colour_description_present_Source;Renk Açıklaması Mevcut, Kaynak
colour_primaries;Renk öncelikleri
colour_primaries_Source;Renk Öncelikleri, Kaynak
colour_range;Renk aralığı
colour_range_Source;Renk Aralığı, Kaynak
Comment;Yorum
CommissionedBy;Görevlendiren
Compare;Karşılaştır
CompareView;Karşılaştırma Görünümü
Compilation;Derleme
ComplementaryObject;Tamamlayıcı Nesne
CompleteName;Tam ad
CompletionDate;Tamamlama Tarihi
ComplexityIndex;Karmaşıklık indeksi
Composer;Besteci
Compression_Mode;Sıkıştırma kipi
Compression_Mode_Lossless;Kayıpsız
Compression_Mode_Lossy;Kayıplı
Compression_Ratio;Sıkıştırma oranı
comprprof;comprprof
Conductor;Orkestra şefi
ConformanceCheck;Uygunluk Denetimi
ConformanceErrors;Uygunluk Hataları
ConformanceInfos;Uygunluk Bilgileri
ConformanceWarnings;Uygunluk Uyarıları
ContactEmail;İletişim E-postası
ContactTelephoneNumber;İletişim Telefon Numarası
Container and general information;Kapsayıcı ve genel bilgiler
Content;İçerik
ContentType;İçerik Türü
CoProducer;Yardımcı yapımcı
Copy;Kopyala
Copyright;Telif Hakkı
CopyrightYear;Telif Hakkı Yılı
CostumeDesigner;Kıyafet tasarımcısı
Count;Sayım
Country;Ülke
Cover;Kapak
Cover_Datas;Kapak verileri
Cover_Description;Kapak açıklaması
Cover_Mime;Kapak MIME
Cover_Type;Kapak türü
CoverData;Kapak Verisi
CreatedOn;Oluşturulma Tarihi
Cropped;Kırpma boyutları
Custom;Özel
CustomDownmixTargets;Özel Downmix Hedefleri
Customize;Özelleştir
DarkMode;Karanlık Kip
Date;Tarih
Debug;Hata Ayıklama
Decimal point;Ondalık ayırıcı
Default translation;Varsayılan çeviri
Default;Varsayılan
Default_Setting;Varsayılan Ayar
DefaultTargetDeviceConfig;Varsayılan Hedef Cihaz Yapılandırması
DefaultView;Varsayılan Görünüm
Delay;Gecikme
Delay_Source;Gecikme, kaynağı
Delay_Source_Container;Kapsayıcı
Delay_Source_Stream;Ham akış
Delete;Sil
Description;Açıklama
Details;Ayrıntılar
dialnorm;diyalog normu
dialnorm_Average;Diyalog Normalleştirme, Ortalama
dialnorm_Count;Diyalog Normalleştirme, Sayı
dialnorm_Maximum;Diyalog Normalleştirme, Maksimum
dialnorm_Minimum;Diyalog Normalleştirme, Minimum
DialogueCorrected;Düzeltilmiş Diyalog
DialogueEnhancement;Diyalog Geliştirme
DialogueNormalization;Diyalog Normalleştirme
Digitized_Date;Sayısallaştırılmış tarih
Dimensions;Boyutlar
Director;Yönetmen
DirectorOfPhotography;Fotoğrafçılık yönetmeni
Disabled;Etkisizleştirildi
DisplayAspectRatio;Görüntü en-boy oranı
DisplayAspectRatio_CleanAperture;Temiz diyafram görüntüsü en-boy oranı
DisplayAspectRatio_Original;Orijinal görüntü en-boy oranı
DisplayCaptions;Altyazıları Göster
DisplayCaptions_Command;Altyazı Göster Komutu
DisplayCaptions_Content;Altyazı Göster İçeriği
DisplayCaptions_Stream;Altyazı Göster Akışı
DistributedBy;Dağıtan
Distributor;Dağıtıcı
Documents;Belgeler
Dolby_Atmos_Metadata;Dolby Atmos Üst Verisi
DolbyAtmos;Dolby Atmos
Donate;Bağış
DotsPerInch;İnç başına nokta
DownloadFile;Dosya İndir
DownloadFileError;Dosya İndirme Hatası
Downmix;Downmix
Downmix_5.1.x;5.1.x Downmix
Downmix_5to2;5'ten 2'ye Downmix
DrcSets_Count;DRC Kümeleri Sayısı
DrcSets_Effects;DRC Kümeleri Efektleri
Duration;Süre
Duration_End;Bitiş zamanı
Duration_End_Command;Bitiş Zamanı Komutu
Duration_Source;Süre Kaynağı
Duration_Start;Başlangıç zamanı
Duration_Start_Command;Başlangıç Zamanı Komutu
Duration_Start2End;Başlangıçtan Bitişe Süre
DynamicObject;Dinamik Nesne
DynamicRangeControl;Dinamik Aralık Kontrolü
dynrngprof;dynrngprof
Eac3DrcProfile;E-AC-3 DRC Profili
Edit;Düzenle
EditedBy;Düzenleyen
EditorialClassification;Editöryal Sınıflandırma
ElementaryStream;Temel Akış
ElementCount;Öğe sayısı
EMail;E-Posta
Enable FFmpeg plugin;FFmpeg eklentisini etkinleştir
Encoded_Application;Yazma uygulaması
Encoded_Application_Name;Kodlama Uygulaması Adı
Encoded_Application_Version;Kodlama Uygulaması Sürümü
Encoded_Date;Kodlanma tarihi
Encoded_Hardware;Kodlama Donanımı
Encoded_Library;Yazma kütüphanesi
Encoded_Library_Name;Kodlama Kütüphanesi Adı
Encoded_Library_Settings;Kodlama ayarları
Encoded_Library_Version;Kodlama Kütüphanesi Sürümü
Encoded_Original;Orijinal destek
EncodedBy;Kodlayan
EPG_Positions;EPG konumları (dahili)
EpisodeTitleNumber;Bölüm Başlık Numarası
Error;Hata
Error_File;Dosya okunurken hata
Error_File_Write;Dosya Yazma Hatası
Error_Open;Açma Hatası
Error_Save;Kaydetme Hatası
Events_MinDuration;Olaylar, En Az Süre
Events_PaintOn;Olaylar, Boyama
Events_PopOn;Olaylar, Açılır
Events_RollUp;Olaylar, Kaydırma
Events_Total;Toplam Olay
ExecutiveProducer;İdari yapımcı
Exit;Çıkış
Exit_Hint;Programdan çık
Export;Dışa Aktar
Export_Hint;Özelleştirilmiş biçimde dışa aktarır
Extensions;Genellikle kullanılan uzantılar
External_Media_NotMounted;Harici Medya Takılı Değil
Family;Aile
Fax;Faks
Feature_AdvancedMode;Gelişmiş Kip Özelliği
Feature_FilesCompare;Dosyaları Karşılaştır Özelliği
Feature_More;Daha Fazla Özellik
Feature_SelectView;Görünüm Seç Özelliği
Field;Alan
File size;Dosya boyutu
File;Dosya
File_Append;Mevcut dosyaya ekle (Uyarı : aynı parametlere sahip olmak için dikkatli olun)
File_Created_Date;Dosya oluşturma tarihi
File_Created_Date_Local;Dosya oluşturma tarihi (yerel)
File_Hint;Çalışmak için çokluortam dosyası seç
File_Modified_Date;Dosya son değiştirme tarihi
File_Modified_Date_Local;Dosya son değiştirme tarihi (yerel)
FileExtension;Dosya uzantısı
FileName;Dosya adı
FileNameExtension;Dosya adı uzantısı
FileSize;Dosya boyutu
Fill with a Dummy movie;Örnek bir filmle doldur
Fill with a realistic movie;Gerçekçi bir filmle doldur
FirstDisplay_Delay_Frames;İlk Gösterim Gecikmesi (Kare)
FirstDisplay_Type;İlk Gösterim Türü
FirstFrameOfAction;Aksiyonun İlk Karesi
FlatPanelTv;Düz Panel TV
FlowID;Akış Kimliği
Folder (R);Klasör (R)
Folder (R)_Hint;Çalışmak için klasör seç (yinelemeli tüm klasörler ile)
Folder (Recursively);Klasör (Yinelemeli)
Folder;Klasör
Folder_Hint;Çalışmak için klasör seç
FolderName;Klasör adı
Forced;Zorunlu
Format;Biçim
Format_AdditionalFeatures;Ek Biçim Özellikleri
Format_Commercial;Ticari adı
Format_Commercial_IfAny;Ticari adı
Format_Compression;Sıkıştırma Biçimi
Format_Description;Biçim açıklaması
Format_Info;Biçim için ayrıntılar
Format_Level;Biçim seviyesi
Format_Profile;Biçim profili
Format_Settings;Biçim ayarları
Format_Settings_BVOP;Biçim ayarları, BVOP
Format_Settings_CABAC;Biçim ayarları, CABAC
Format_Settings_Emphasis;Vurgu
Format_Settings_Endianness;Biçim ayarları, Endianess
Format_Settings_Firm;Biçim ayarları, Firm
Format_Settings_Floor;Biçim ayarları, Floor
Format_Settings_FrameMode;Kare kipi
Format_Settings_GMC;Biçim ayarları, GMC
Format_Settings_GOP;Biçim ayarları, GOP
Format_Settings_ITU;Biçim ayarları, ITU
Format_Settings_Law;Biçim ayarları, Law
Format_Settings_Matrix;Biçim ayarları, Matrix
Format_Settings_Matrix_Custom;Özel
Format_Settings_Matrix_Default;Varsayılan
Format_Settings_Mode;Kip
Format_Settings_ModeExtension;Kip uzantısı
Format_Settings_PacketBitStream;Biçim ayarları, Paket bit akışı
Format_Settings_PictureStructure;Biçim ayarları, resim yapısı
Format_Settings_PS;Biçim ayarları, PS
Format_Settings_Pulldown;Biçim ayarları, Pulldown
Format_Settings_QPel;Biçim ayarları, QPel
Format_Settings_RefFrames;Biçim ayarları, RefFrames
Format_Settings_SBR;Biçim ayarları, SBR
Format_Settings_Sign;Biçim ayarları, Sign
Format_Settings_SliceCount;Biçim Ayarları, Dilim Sayısı
Format_Settings_Wrapping;Biçim ayarları, kaydırma kipi
Format_Tier;Biçim katmanı
Format_Url;Biçim için web bağlantısı
Format_Version;Biçim sürümü
FormatDefinition;Biçim Tanımı
FpaManufacturer;FPA Üreticisi
FpaPass;FPA Pass
FpaVersion;FPA Sürümü
FrameCount;Kare sayısı
FrameCount_Source;Kaynak Kare Sayısı
FrameRate;Kare hızı
FrameRate_Den;Kare Hızı Paydası
FrameRate_Maximum;En fazla kare hızı
FrameRate_Minimum;En az kare hızı
FrameRate_Mode;Kare hızı kipi
FrameRate_Mode_CFR;Sabit
FrameRate_Mode_VFR;Değişken
FrameRate_Nominal;Düşük kare hızı
FrameRate_Num;Kare Hızı Payı
FrameRate_Original;Orijinal kare hızı
FrameRate_Real;Gerçek Kare Hızı
FullParsing;Tam Ayrıştırma
FullParsingTips;Tam Ayrıştırma İpuçları
Gallery;Galeri
General;Genel
GeneralCompliance;Genel Uyum
Genre;Tarz
Genre_000;Blues
Genre_001;Classic Rock
Genre_002;Country
Genre_003;Dans
Genre_004;Disko
Genre_005;Funk
Genre_006;Grunge
Genre_007;Hip-Hop
Genre_008;Jazz
Genre_009;Metal
Genre_010;New Age
Genre_011;Oldies
Genre_012;Other
Genre_013;Pop
Genre_014;R&B
Genre_015;Rap
Genre_016;Reggae
Genre_017;Rock
Genre_018;Techno
Genre_019;Industrial
Genre_020;Alternative
Genre_021;Ska
Genre_022;Death Metal
Genre_023;Pranks
Genre_024;Film Müziği
Genre_025;Euro-Techno
Genre_026;Ambient
Genre_027;Trip-Hop
Genre_028;Vocal
Genre_029;Jazz+Funk
Genre_030;Fusion
Genre_031;Trance
Genre_032;Klasik
Genre_033;Enstrümantal
Genre_034;Asit
Genre_035;House
Genre_036;Oyun
Genre_037;Ses Klibi
Genre_038;Gospel
Genre_039;Noise
Genre_040;AlternRock
Genre_041;Bass
Genre_042;Soul
Genre_043;Punk
Genre_044;Space
Genre_045;Meditative
Genre_046;Enstrümantal Pop
Genre_047;Enstrümantal Rock
Genre_048;Ethnik
Genre_049;Gothic
Genre_050;Darkwave
Genre_051;Techno-Industrial
Genre_052;Elektronik
Genre_053;Pop-Folk
Genre_054;Eurodance
Genre_055;Dream
Genre_056;Güney Rock
Genre_057;Komedi
Genre_058;Cult
Genre_059;Gangsta
Genre_060;Top 40
Genre_061;Christian Rap
Genre_062;Pop/Funk
Genre_063;Jungle
Genre_064;Native American
Genre_065;Cabaret
Genre_066;New Wave
Genre_067;Psychadelic
Genre_068;Rave
Genre_069;Showtunes
Genre_070;Trailer
Genre_071;Lo-Fi
Genre_072;Tribal
Genre_073;Acid Punk
Genre_074;Acid Jazz
Genre_075;Polka
Genre_076;Retro
Genre_077;Musical
Genre_078;Rock & Roll
Genre_079;Hard Rock
Genre_080;Folk
Genre_081;Folk-Rock
Genre_082;National Folk
Genre_083;Swing
Genre_084;Fast Fusion
Genre_085;Bebob
Genre_086;Latin
Genre_087;Revival
Genre_088;Celtic
Genre_089;Bluegrass
Genre_090;Avantgarde
Genre_091;Gothic Rock
Genre_092;Progressive Rock
Genre_093;Psychedelic Rock
Genre_094;Symphonic Rock
Genre_095;Slow Rock
Genre_096;Big Band
Genre_097;Chorus
Genre_098;Easy Listening
Genre_099;Acoustic
Genre_100;Humour
Genre_101;Speech
Genre_102;Chanson
Genre_103;Opera
Genre_104;Chamber Music
Genre_105;Sonata
Genre_106;Symphony
Genre_107;Booty Bass
Genre_108;Primus
Genre_109;Porn Groove
Genre_110;Satire
Genre_111;Slow Jam
Genre_112;Club
Genre_113;Tango
Genre_114;Samba
Genre_115;Folklore
Genre_116;Ballad
Genre_117;Power Ballad
Genre_118;Rhythmic Soul
Genre_119;Freestyle
Genre_120;Duet
Genre_121;Punk Rock
Genre_122;Drum Solo
Genre_123;A capella
Genre_124;Euro-House
Genre_125;Dance Hall
Genre_126;Goa
Genre_127;Davul & Bass
Genre_128;Club-House
Genre_129;Hardcore
Genre_130;Terror
Genre_131;Indie
Genre_132;Britpop
Genre_133;Negerpunk
Genre_134;Polsk Punk
Genre_135;Beat
Genre_136;Christian Gangsta Rap
Genre_137;Heavy Metal
Genre_138;Black Metal
Genre_139;Crossover
Genre_140;Contemporary Christian
Genre_141;Christian Rock
Genre_142;Merengue
Genre_143;Salsa
Genre_144;Trash Metal
Genre_145;Anime
Genre_146;JPop
Genre_147;Synthpop
Genre_148;Abstract
Genre_149;Art Rock
Genre_150;Baroque
Genre_151;Bhangra
Genre_152;Big Beat
Genre_153;Breakbeat
Genre_154;Chillout
Genre_155;Downtempo
Genre_156;Dub
Genre_157;EBM
Genre_158;Eclectic
Genre_159;Electro
Genre_160;Electroclash
Genre_161;Emo
Genre_162;Experimental
Genre_163;Garage
Genre_164;Genel
Genre_165;IDM
Genre_166;Illbient
Genre_167;Industro-Goth
Genre_168;Jam Band
Genre_169;Krautrock
Genre_170;Leftfield
Genre_171;Lounge
Genre_172;Math Rock
Genre_173;New Romantic
Genre_174;Nu-Breakz
Genre_175;Post-Punk
Genre_176;Post-Rock
Genre_177;Psytrance
Genre_178;Shoegaze
Genre_179;Space Rock
Genre_180;Trop Rock
Genre_181;World Music
Genre_182;Neoclassical
Genre_183;Audiobook
Genre_184;Audio Theatre
Genre_185;Neue Deutsche Welle
Genre_186;Podcast
Genre_187;Indie Rock
Genre_188;G-Funk
Genre_189;Dubstep
Genre_190;Garage Rock
Genre_191;Psybient
Go to WebSite;Web sitesine git
Gop_OpenClosed;GOP, Açık/Kapalı
Gop_OpenClosed_Closed;Kapalı
Gop_OpenClosed_FirstFrame;GOP, Açık/İlk karede kapalı
Gop_OpenClosed_Open;Açık
Graph;Grafik
Group;Grup
Grouping;Gruplama
GroupPreset;Grup Ön Ayarı
h; s
HDR_Format;HDR biçimi
Header file;Üst bilgi dosyası oluştur
Height;Yükseklik
Height_CleanAperture;Temiz diyafram yüksekliği
Height_Original;Orijinal yükseklik
Help;Yardım
HideOthers;Diğerlerini Gizle
Hint;İpucu
HomeTheaterAvr;Ev Sineması AVR
How many audio streams?;Kaç tane seslendirme akışı?
How many chapters streams?;Kaç tane bölüm akışı?
How many text streams?;Kaç tane yazı akışı?
How many video streams?;Kaç tane görüntü akışı?
HTML;HTML
ID;ID
IdentClockStart;Kimlik Saati Başlangıcı
IFrameInterval;I-Kare Aralığı
Image stream(s);Resim akışı
Image;Resim
Image_Codec_List;Kodek İmajı
ImageCount;Resim akışları sayısı
ImmersiveStereo;Sarmal Stereo
Info;Bilgi
Instruments;Enstrüman
IntegratedLoudness;Entegre Ses Yüksekliği
IntegratedLoudness_Level;Entegre Ses Yüksekliği Seviyesi
IntegratedLoudness_Speech;Entegre Ses Yüksekliği, Konuşma
InteractivityEnabled;Etkileşim Etkin
Interlaced_BFF;En Alt Alanın İlki
Interlaced_Interlaced;Karışık
Interlaced_PPF;Aşamalı
Interlaced_Progressive;Aşamalı
Interlaced_TFF;En Üst Alanın İlki
Interlacement;Karıştırma
Interleave_Duration;Boşluk, süre
Interleave_Preload;Boşluk, önyükleme süresi
Interleave_VideoFrames;Boşluk, süre
Interleaved;Boşluklu
InternetMediaType;Internet medya türü
IRCA;IRCA
ISBN;ISBN
ISRC;ISRC
IsStreamable;Akışlanabilir mi?
Keywords;Anahtar kelime
Known codecs;Bilinen kodekler
Known formats;Bilinen biçimler
Known parameters;Bilinen parametreler
Label;Etiket
Language;Dil
Language_aa;Afar
Language_ab;Abkhazian
Language_ae;Avestan
Language_af;Afrikaanca
Language_ak;Akan
Language_am;Amharic
Language_an;Aragonese
Language_ar;Arapça
Language_as;Assamese
Language_av;Avaric
Language_ay;Aymara
Language_az;Azeri
Language_ba;Bashkir
Language_be;Beyaz rusça
Language_bg;Bulgarca
Language_bh;Bihari
Language_bi;Bislama
Language_bm;Bambara
Language_bn;Bengali
Language_bo;Tibetan
Language_br;Breton
Language_bs;Boşnakça
Language_ca;Katalanca
Language_ce;Chechen
Language_ch;Chamorro
Language_cmn;Çince (Mandarin)
Language_co;Corsican
Language_cr;Cree
Language_cs;Çekçe
Language_cu;Slave
Language_cv;Chuvash
Language_cy;Welsh
Language_da;Danca
Language_de;Almanca
Language_dv;Divehi
Language_dz;Dzongkha
Language_ee;Ewe
Language_el;Yunanca
Language_en;İngilizce
Language_en-gb;İngilizce (UK)
Language_en-us;İngilizce (ABD)
Language_eo;Esperanto
Language_es;İspanyolca
Language_es-419;İspanyolca (Latin Amerika)
Language_et;Estonca
Language_eu;Basque
Language_fa;Farsça
Language_ff;Fulah
Language_fi;Fince
Language_fil;Filipince
Language_fj;Fijian
Language_fo;Faroese
Language_fr;Fransızca
Language_fy;Frisian
Language_ga;Irish
Language_gd;Gaelic
Language_gl;Galician
Language_gn;Guarani
Language_gu;Gujarati
Language_gv;Manx
Language_ha;Hausa
Language_he;İbranice
Language_hi;Hintçe
Language_ho;Hiri Motu
Language_hr;Hırvatça
Language_ht;Haitice
Language_hu;Macarca
Language_hy;Ermenice
Language_hy-az;Ermenice (Azerbaycan)
Language_hz;Herero
Language_ia;Yardımcı  Dil Derneği
Language_id;Endonezca
Language_ie;Interlingue
Language_ig;Igbo
