   Junk;x
Format_Url;該格式的網址
FrameCount;畫面數
FrameRate;畫面頻率
FrameRate_Mode;畫面頻率模式
FrameRate_Mode_CFR;固定常數
FrameRate_Mode_VFR;可變動
FrameRate_Minimum;最小畫面頻率
FrameRate_Nominal;正常畫面頻率
FrameRate_Maximum;最大畫面頻率
FrameRate_Original;原始畫面頻率
General;一般
Genre;類型
Genre_000;藍調 (Blues)
Genre_001;古典搖滾 (Classic Rock)
Genre_002;鄉村 (Country)
Genre_003;舞曲 (Dance)
Genre_004;迪士可 (Disco)
Genre_005;放客 (Funk)
Genre_006;頹廢 (Grunge)
Genre_007;嘻哈 (Hip-Hop)
Genre_008;爵士 (Jazz)
Genre_009;金屬 (Metal)
Genre_010;新世紀 (New Age)
Genre_011;老歌 (Oldies)
Genre_012;其它類型 (Other)
Genre_013;流行樂 (Pop)
Genre_014;節奏藍調 (R&B)
Genre_015;饒舌 (Rap)
Genre_016;雷鬼 (Reggae)
Genre_017;搖滾 (Rock)
Genre_018;Techno
Genre_019;Industrial
Genre_020;另類 (Alternative)
Genre_021;Ska
Genre_022;Death Metal
Genre_023;Pranks
Genre_024;原聲帶 (Soundtrack)
Genre_025;Euro-Techno
Genre_026;Ambient
Genre_027;Trip-Hop
Genre_028;人聲 (Vocal)
Genre_029;爵士+放客 (Jazz+Funk)
Genre_030;融合 (Fusion)
Genre_031;Trance
Genre_032;古典樂 (Classical)
Genre_033;Instrumental
Genre_034;Acid
Genre_035;浩室 (House)
Genre_036;遊戲 (Game)
Genre_037;音效素材 (Sound Clip)
Genre_038;Gospel
Genre_039;Noise
Genre_040;另類搖滾 (AlternRock)
Genre_041;貝斯 (Bass)
Genre_042;靈魂樂 (Soul)
Genre_043;龐克 (Punk)
Genre_044;Space
Genre_045;Meditative
Genre_046;Instrumental Pop
Genre_047;Instrumental Rock
Genre_048;Ethnic
Genre_049;Gothic
Genre_050;Darkwave
Genre_051;Techno-Industrial
Genre_052;Electronic
Genre_053;Pop-Folk
Genre_054;Eurodance
Genre_055;Dream
Genre_056;Southern Rock
Genre_057;Comedy
Genre_058;Cult
Genre_059;Gangsta
Genre_060;排行榜 (Top 40)
Genre_061;Christian Rap
Genre_062;Pop/Funk
Genre_063;Jungle
Genre_064;Native American
Genre_065;Cabaret
Genre_066;New Wave
Genre_067;Psychadelic
Genre_068;Rave
Genre_069;Showtunes
Genre_070;Trailer
Genre_071;Lo-Fi
Genre_072;Tribal
Genre_073;Acid Punk
Genre_074;Acid Jazz
Genre_075;Polka
Genre_076;Retro
Genre_077;音樂劇 (Musical)
Genre_078;搖滾 (Rock & Roll)
Genre_079;Hard Rock
Genre_080;Folk
Genre_081;Folk-Rock
Genre_082;National Folk
Genre_083;Swing
Genre_084;Fast Fusion
Genre_085;Bebob
Genre_086;拉丁
Genre_087;Revival
Genre_088;Celtic
Genre_089;Bluegrass
Genre_090;Avantgarde
Genre_091;Gothic Rock
Genre_092;Progressive Rock
Genre_093;Psychedelic Rock
Genre_094;Symphonic Rock
Genre_095;Slow Rock
Genre_096;Big Band
Genre_097;Chorus
Genre_098;Easy Listening
Genre_099;Acoustic
Genre_100;Humour
Genre_101;演說 (Speech)
Genre_102;Chanson
Genre_103;歌劇 (Opera)
Genre_104;Chamber Music
Genre_105;奏鳴曲 (Sonata)
Genre_106;交響樂 (Symphony)
Genre_107;Booty Bass
Genre_108;Primus
Genre_109;Porn Groove
Genre_110;Satire
Genre_111;Slow Jam
Genre_112;Club
Genre_113;探戈 (Tango)
Genre_114;森巴 (Samba)
Genre_115;Folklore
Genre_116;Ballad
Genre_117;Power Ballad
Genre_118;Rhythmic Soul
Genre_119;Freestyle
Genre_120;Duet
Genre_121;Punk Rock
Genre_122;Drum Solo
Genre_123;A capella
Genre_124;Euro-House
Genre_125;Dance Hall
Genre_126;Goa
Genre_127;Drum & Bass
Genre_128;Club-House
Genre_129;Hardcore
Genre_130;Terror
Genre_131;Indie
Genre_132;Britpop
Genre_133;Negerpunk
Genre_134;Polsk Punk
Genre_135;Beat
Genre_136;Christian Gangsta Rap
Genre_137;重金屬 (Heavy Metal)
Genre_138;Black Metal
Genre_139;Crossover
Genre_140;Contemporary Christian
Genre_141;Christian Rock 
Genre_142;Merengue
Genre_143;Salsa
Genre_144;Trash Metal
Genre_145;動畫歌曲 (Anime)
Genre_146;日本流行樂 (JPop)
Genre_147;Synthpop
Go to WebSite;前往網站
h;時
Header file;建立標頭檔案
Height;畫面高度
Help;說明
Hint;提示
How many audio streams?;有多少音訊串流?
How many chapters streams?;有多少章節串流?
How many text streams?;有多少字幕串流?
How many video streams?;有多少視訊串流?
HTML;網頁
ID;識別字
Image;圖片
Image stream(s);圖片串流
Image_Codec_List;圖片編解碼器
ImageCount;圖片串流數
Info;相關資訊
Instruments;樂器
Interlacement;交錯
Interlaced_Interlaced;有交錯
Interlaced_TFF;前場優先
Interlaced_BFF;後場優先
Interlaced_PPF;漸進式
Interlaced_Progressive;漸進式
Interleave_Duration;交錯訊號, 持續時間
Interleave_Preload;交錯訊號, 預先載入時間
Interleave_VideoFrames;交錯訊號, 持續時間
IRCA;IRCA
ISBN;ISBN
ISRC;ISRC
Keywords;關鍵字
Known codecs;已知編解碼器
Known formats;已知格式
Known parameters;已知參數
Label;標籤
Language;語系
Language___;多重語系
Language_aa;伊索匹亞語
Language_ab;阿布哈茲語
Language_ae;古波斯語
Language_af;南非語
Language_ak;阿坎語
Language_am;阿姆哈拉語
Language_an;阿拉貢語
Language_ar;阿拉伯語
Language_as;阿薩姆語
Language_av;阿瓦爾語
Language_ay;艾馬拉語
Language_az;亞塞拜然語
Language_ba;巴什噶爾語
Language_be;白俄羅斯語
Language_bg;保加利亞語
Language_bh;比哈爾語
Language_bi;必斯拉馬語
Language_bm;班巴拉語
Language_bn;孟加拉語
Language_bo;西藏語
Language_br;布里多尼語
Language_bs;波斯尼亞語
Language_ca;加泰隆尼亞語
Language_ce;車臣語
Language_ch;查莫羅語
Language_co;科西嘉語
Language_cr;克里語
Language_cs;捷克語
Language_cu;古教會斯拉夫語
Language_cv;楚瓦什語
Language_cy;威爾斯語
Language_da;丹麥語
Language_de;德語
Language_dv;迪維希語
Language_dz;不丹語
Language_ee;埃維語
Language_el;希臘語
Language_en;英語
Language_eo;世界語
Language_es;西班牙語
Language_et;愛沙尼亞語
Language_eu;巴斯克語
Language_fa;波斯語
Language_ff;富拉赫語
Language_fi;芬蘭語
Language_fj;斐濟語
Language_fo;法羅斯語
Language_fr;法語
Language_fy;弗利然群島語
Language_ga;愛爾蘭語
Language_gd;蘇格蘭蓋爾語
Language_gl;加里西亞語
Language_gn;巴拉圭語
Language_gu;古吉拉特語
Language_gv;曼島語
Language_ha;豪撒語
Language_he;希伯來語
Language_hi;印地語
Language_ho;希里木托語
Language_hr;克羅埃西亞語
Language_ht;海地語
Language_hu;匈牙利語
Language_hy;亞美尼亞語
Language_hz;赫雷羅語
Language_ia;國際語
Language_id;印尼語
Language_ie;國際語
Language_ig;伊格博語
Language_ii;四川彝語
Language_ik;因紐必語
Language_Info;語系資訊
Language_io;伊多語
Language_is;冰島語
Language_it;義大利語
Language_iu;伊努特語
Language_ja;日語
Language_jv;爪哇語
Language_ka;喬治亞語
Language_kg;剛果語
Language_ki;基庫尤語
Language_kj;貢耶瑪語
Language_kk;哈薩克語
Language_kl;格陵蘭島語
Language_km;高棉語
Language_kn;坎納達語
Language_ko;韓語
Language_kr;卡努里語
Language_ks;克什米爾語
Language_ku;庫德語
Language_kv;科米語
Language_kw;康瓦耳語
Language_ky;吉爾吉斯語
Language_la;拉丁語
Language_lb;盧森堡語
Language_lg;干達語
Language_li;林堡語
Language_ln;班圖語
Language_lo;寮國語
Language_lt;立陶宛語
Language_lu;盧巴卡丹加語
Language_lv;拉脫維亞語
Language_mg;馬達加西語
Language_mh;馬紹爾語
Language_mi;毛利語
Language_mk;馬其頓語
Language_ml;馬拉雅拉姆語
Language_mn;蒙古語
Language_mo;摩達維亞語
Language_mr;馬拉塔語
Language_ms;馬來語
Language_mt;馬爾他語
Language_my;緬甸語
Language_na;諾魯語
Language_nb;挪威波克默爾語
Language_nd;北恩德貝勒語
Language_ne;尼泊爾語
Language_ng;恩東加語
Language_nl;荷蘭語
Language_nn;新挪威語
Language_no;挪威語
Language_nr;南恩德貝勒語
Language_nv;納瓦霍語
Language_ny;尼揚賈語
Language_oc;奧克西坦語
Language_oj;奧吉布瓦語
Language_om;澳洛莫語
Language_or;奧里雅語
Language_os;奧塞梯語
Language_pa;旁遮普語
Language_pi;巴利語
Language_pl;波蘭語
Language_ps;阿富汗語
Language_pt;葡萄牙語
Language_qu;印加語
Language_rm;羅曼語
Language_rn;可蘭地語
Language_ro;羅馬尼亞語
Language_ru;俄語
Language_rw;盧安達語
Language_sa;梵語
Language_sc;薩丁尼亞語
Language_sd;信德語
Language_se;薩米語
Language_sg;桑戈語
Language_si;錫蘭語
Language_sk;斯洛伐克語
Language_sl;斯洛維尼亞語
Language_sm;薩摩亞語
Language_sn;紹納語
Language_so;索馬利語
Language_sq;阿爾巴尼亞語
Language_sr;塞爾維亞語
Language_ss;史瓦濟蘭語
Language_st;索托語
Language_su;巽他語
Language_sv;瑞典語
Language_sw;斯華西里語
Language_ta;坦米爾語
Language_te;泰盧固語
Language_tg;塔吉克語
Language_th;泰語
Language_ti;達米亞語
Language_tk;土庫曼語
Language_tl;菲律賓語
Language_tn;茨瓦納語
Language_to;東加語
Language_tr;土耳其語
Language_ts;聰加語
Language_tt;韃靼語
Language_tw;奇族語
Language_ty;大溪地語
Language_ug;維吾爾語
Language_uk;烏克蘭語
Language_ur;晤魯都語
Language_uz;烏茲別克語
Language_ve;文達語
Language_vi;越南語
Language_vo;沃拉卜克語
Language_wa;華隆語
Language_wo;沃洛夫語
Language_xh;科薩語
Language_yi;意地緒語
Language_yo;庫哇語
Language_za;壯語
Language_zh;華語
Language_zu;祖魯語
LawRating;分級
LCCN;LCCN
Library;合成函式庫
List;清單
Lyrics
Lyricist;作詞者
Mastered_Date;後製日期
MasteredBy;後製者
MediaInfo_About;支援非常詳盡的多媒體檔案資訊:\r\nMatroska, OGG (包含 OGM)\r\nMPEG-1 (包含 VCD)\r\nMPEG-2 (包含 DVD, SVCD)\r\nMPEG-4 (包含 iTunes M4A)\r\nQuicktime\r\nRealMedia\r\nWindowsMedia (包含 WMV, WMA)\r\nMicrosoft RIFF (包含 AVI, WAV)\r\n純聲音格式 (AC3, DTS, AAC, AU, AIFF...)
Menu;選單
Menu stream(s);選單串流
Menu_Codec_List;選單編解碼器
Menu_No;無選單
MenuCount;選單串流數
Menu_Hint;更多可能
MenuID;選單ID
mn;分
Mood;情緒
More;更多
Movie;電影名稱
ms;毫秒
MSDI;MSDI
MuxingMode;合成模式
MuxingMode_PackedBitstream;Packed bitstream
Name;名稱
Nationality;國籍
New;新增
Newest version;檢查最新的版本 (需要網路連線)
No;否
OK;確認
One output file per input file;一個輸入檔對應一個輸出檔
Open;開啟
Options;選項
Options_Hint;偏好設定
Original;來源
Other;其它
Output;輸出
Output format;輸出格式
OverallBitRate;整體流量
OverallBitRate_Maximum;最大整體流量
OverallBitRate_Minimum;最小整體流量
OverallBitRate_Mode;整體流量模式
OverallBitRate_Nominal;正常整體流量
Part;部分
Part_Count;總數
Performer;演出者
Period;時期
Phone;電話
PixelAspectRatio;像素長寬比例
PlayCounter;播放計數器
Played_Count;已播放數
Played_First_Date;首次播放
Played_Last_Date;前次播放
PlayTime;播放長度
Position;順序
Position_Total;總數
Preferences;偏好設定
Producer;製作
ProductionDesigner;美術指導
ProductionStudio;製作中心
Publisher;發布者
Purchased_Date;購買日期
Quote character;引號字元
RadioStation;電台
Rating;分級
Recorded_Date;錄製日期
Recorded_Location;錄製地點
Released_Date;發行日期
RemixedBy;重混者
ReplayGain_Gain;播放增益
ReplayGain_Peak;播放增益尖峰值
Resolution;顏色深度
s;秒
SamplingRate;取樣率
Save;儲存
ScanType;掃描型態
ScanOrder;掃描順序
ScreenplayBy;編劇
Season;季期
see below;詳見下述
Send HeaderFile;請將標頭檔寄到這給我: http://sourceforge.net/projects/mediainfo/ (Bug section)
Separator_Columns;換列字元
Separator_Lines;換行字元
ServiceChannel;服務頻道
ServiceName;服務名稱
ServiceProvider;服務提供者
ServiceType;服務類型
Set;集合
Set_Count;集合數
Setup;設定
Sheet;表格
Sheet (Complete);表格 (完整)
Shell extension;快顯功能表 (在檔案總管裡, 按右鍵會出現 MediaInfo 的選項)
Shell InfoTip;資訊提示 (在檔案總管裡, 將滑鼠移到檔案上會顯示相關訊息)
Show menu;顯示選單
Show toolbar;顯示工具列
Sort;排序
SoundEngineer;音響工程師
Standard;標準
Stream;串流
Stream_MoreInfo;更多有關此串流的資訊
StreamCount;此串流數量
StreamID;串流ID
StreamKind;串流類型
StreamKindID;串流識別字
StreamKindPos;串流識別字
StreamSize;串流大小
StreamSize_Proportion;此串流的比例
Subject;主題
SubTrack;子音軌
Summary;摘要
Supported formats;支援格式
Supported?;是否支援?
Synopsys;摘要
SystemId;識別字
Tagged_Application;標記程式
Tagged_Date;標記日期
Technician;技師
TermsOfUse;使用條款
Text;文字
Text - Custom;文字 - 自訂
Text (HTML);文字 (網頁)
Text stream(s);字幕串流
Text streams;字幕串流
Text_Codec_List;字幕編解碼器
Text_No;無字幕
Text1;第一字幕串流
Text2;第二字幕串流
Text3;第三字幕串流
TextCount;字幕串流數
ThanksTo;感謝
Thousands separator;千位分隔符號
Title;標題
Title_More;標題, 詳細資訊
Total;總和
Track;音軌
Track_Count;音軌數
Translator;翻譯
Tree;樹狀圖
Tree & Text;樹狀圖與文字
Unknown;未知
Url;相關網址
Video;視訊
Video stream(s);視訊串流
Video_Codec_List;視訊編解碼器
Video_Delay;視訊延遲
Video_No;無視訊
Video0_Delay;視訊0延遲
Video1;第一視訊串流
VideoCount;視訊串流數
View;檢視
View_Hint;改變檢視資訊的方法
Warning : more streams in the files;注意: 檔案中還有更多串流
Web;網頁
WebSite_Audio;前往此音訊編解碼器的網站
WebSite_Audio_More;前往網站 (%Url%) 找尋此音訊編解碼器
WebSite_General;前往此播放程式的網站
WebSite_General_More;前往此播放程式的網站
WebSite_Text;前往此文字編解碼器的網站
WebSite_Text_More;前往網站 (%Url%) 找尋此文字編解碼器
WebSite_Url;http://mediainfo.sourceforge.net/zh-TW
WebSite_Video;前往此視訊編解碼器的網站
WebSite_Video_More;前往網站 (%Url%) 找尋此視訊編解碼器
Width;畫面寬度
WriteMe;寫信給作者
WriteToTranslator;寫信給譯者
Written_Date;撰寫日期
Written_Location;撰寫地點
WrittenBy;撰寫人
Yes;是
Your system;您的系統
ZZ_Automatic_Percent;99
ZZ_AutomaticLanguage_Percent;99
